account_id,account_number_masked,bank_name,branch_id,account_type,holder_person_id,opening_date,closing_date,account_status,kyc_status,city,risk_flag,source
ACC000039,XXXX21780039,SYNTH_METRO_BANK,BR006,Current,P004896,2019-08-25,,Dormant,Pending,Pune,false,SYNTH_LEGACY_BANK
ACC000040,XXXX30900040,SYNTH_NATIONAL_BANK,BR002,Savings,P002238,2013-06-08,,Frozen,Expired,Pune,true,SYNTH_LEGACY_BANK
ACC000041,XXXX12760041,SYNTH_COOPERATIVE_BANK,BR005,Savings,P005195,2015-09-10,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000042,XXXX46730042,SYNTH_UNION_BANK,BR003,Savings,P005417,2021-07-31,,Dormant,Verified,Pune,true,SYNTH_FINANCE_DB
ACC000043,XXXX73640043,SYNTH_COMMERCIAL_BANK,BR008,Current,P001643,2019-12-22,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000044,XXXX39630044,SYNTH_CITY_BANK,BR004,Current,P006050,2018-04-08,,Active,Expired,Pune,true,SYNTH_LEGACY_BANK
ACC000045,XXXX70690045,SYNTH_UNION_BANK,BR003,Current,P001564,2023-09-30,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000046,XXXX50590046,SYNTH_REGIONAL_BANK,BR007,Business,P006499,2018-04-14,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000047,XXXX50890047,SYNTH_STATE_BANK,BR001,Savings,P004121,2019-01-13,,Dormant,Verified,Pune,false,SYNTH_BANK_CORE
ACC000048,XXXX10980048,SYNTH_UNION_BANK,BR003,Savings,P001894,2024-02-01,2025-05-01,Closed,Pending,Pune,false,SYNTH_FINANCE_DB
ACC000049,XXXX89620049,SYNTH_STATE_BANK,BR001,Salary,P002431,2025-09-02,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000050,XXXX39170050,SYNTH_REGIONAL_BANK,BR007,Current,P002741,2023-08-04,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000051,XXXX65510051,SYNTH_REGIONAL_BANK,BR007,Savings,P003879,2022-02-02,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000052,XXXX38090052,SYNTH_CITY_BANK,BR004,Joint,P001522,2023-02-10,,Dormant,Verified,Pune,false,SYNTH_KYC_DB
ACC000053,XXXX32320053,SYNTH_METRO_BANK,BR006,Salary,P003214,2025-08-27,,Active,Expired,Pune,true,SYNTH_KYC_DB
ACC000054,XXXX89970054,SYNTH_METRO_BANK,BR006,Salary,P003709,2012-12-11,,Active,Restricted,Pune,true,SYNTH_LEGACY_BANK
ACC000055,XXXX96340055,SYNTH_COMMERCIAL_BANK,BR008,Savings,P002734,2025-12-01,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000056,XXXX43160056,SYNTH_COMMERCIAL_BANK,BR008,Salary,P001971,2013-05-01,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000057,XXXX29350057,SYNTH_REGIONAL_BANK,BR007,Savings,P006515,2023-08-08,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000058,XXXX97340058,SYNTH_REGIONAL_BANK,BR007,Savings,P005160,2024-12-15,2025-06-14,Closed,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000059,XXXX88920059,SYNTH_COMMERCIAL_BANK,BR008,Savings,P004985,2018-10-28,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000060,XXXX89480060,SYNTH_COOPERATIVE_BANK,BR005,Savings,P002643,2022-05-01,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000061,XXXX91060061,SYNTH_CITY_BANK,BR004,Savings,P002102,2019-08-31,,Dormant,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000062,XXXX79420062,SYNTH_NATIONAL_BANK,BR002,Savings,P002067,2019-06-02,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000063,XXXX24130063,SYNTH_COOPERATIVE_BANK,BR005,Savings,P000834,2024-12-13,,Active,Expired,Pune,true,SYNTH_KYC_DB
ACC000064,XXXX93600064,SYNTH_NATIONAL_BANK,BR002,Savings,P003643,2025-12-23,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000065,XXXX10800065,SYNTH_NATIONAL_BANK,BR002,Salary,P003525,2018-06-15,,Dormant,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000066,XXXX94630066,SYNTH_CITY_BANK,BR004,Savings,P002878,2016-07-24,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000067,XXXX34860067,SYNTH_NATIONAL_BANK,BR002,Current,P005045,2025-07-05,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000068,XXXX37270068,SYNTH_COOPERATIVE_BANK,BR005,Savings,P000481,2017-11-12,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000069,XXXX17500069,SYNTH_COOPERATIVE_BANK,BR005,Savings,P003296,2015-05-21,2025-03-04,Closed,Verified,Pune,false,SYNTH_BANK_CORE
ACC000070,XXXX21160070,SYNTH_STATE_BANK,BR001,Savings,P003674,2020-09-13,,Dormant,Verified,Pune,false,SYNTH_KYC_DB
ACC000071,XXXX79870071,SYNTH_CITY_BANK,BR004,Savings,P000509,2015-12-17,,Dormant,Pending,Pune,false,SYNTH_KYC_DB
ACC000072,XXXX96480072,SYNTH_REGIONAL_BANK,BR007,Savings,P000353,2016-10-09,,Active,Expired,Pune,true,SYNTH_BANK_CORE
ACC000073,XXXX99410073,SYNTH_COOPERATIVE_BANK,BR005,Savings,P006001,2013-12-11,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000074,XXXX96960074,SYNTH_CITY_BANK,BR004,Savings,P005804,2023-05-27,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000075,XXXX41290075,SYNTH_UNION_BANK,BR003,Savings,P001792,2025-05-12,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000076,XXXX52120076,SYNTH_REGIONAL_BANK,BR007,Savings,P006869,2013-03-14,,Dormant,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000077,XXXX22640077,SYNTH_UNION_BANK,BR003,Savings,P001397,2024-01-20,,Dormant,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000078,XXXX95170078,SYNTH_REGIONAL_BANK,BR007,Joint,P004800,2019-01-11,,Dormant,Pending,Pune,false,SYNTH_BANK_CORE
ACC000079,XXXX26310079,SYNTH_NATIONAL_BANK,BR002,Savings,P002894,2013-08-27,,Frozen,Verified,Pune,true,SYNTH_FINANCE_DB
ACC000080,XXXX37930080,SYNTH_COMMERCIAL_BANK,BR008,Joint,P004081,2023-11-03,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000081,XXXX83940081,SYNTH_REGIONAL_BANK,BR007,Savings,P006106,2022-04-12,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000082,XXXX36650082,SYNTH_UNION_BANK,BR003,Savings,P000681,2014-12-17,2018-03-03,Closed,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000083,XXXX96540083,SYNTH_COOPERATIVE_BANK,BR005,Savings,P006247,2012-05-09,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000084,XXXX84380084,SYNTH_COMMERCIAL_BANK,BR008,Current,P000688,2014-01-02,,Dormant,Expired,Pune,true,SYNTH_KYC_DB
ACC000085,XXXX74190085,SYNTH_STATE_BANK,BR001,Business,P006966,2023-08-02,,Dormant,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000086,XXXX46990086,SYNTH_METRO_BANK,BR006,Current,P005099,2022-06-15,,Active,Expired,Pune,true,SYNTH_KYC_DB
ACC000087,XXXX16650087,SYNTH_NATIONAL_BANK,BR002,Savings,P004670,2019-07-13,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000088,XXXX26950088,SYNTH_UNION_BANK,BR003,Business,P006054,2023-07-27,,Dormant,Verified,Pune,false,SYNTH_BANK_CORE
ACC000089,XXXX71290089,SYNTH_CITY_BANK,BR004,Savings,P006788,2014-03-10,,Active,Pending,Pune,false,SYNTH_KYC_DB
ACC000090,XXXX25470090,SYNTH_REGIONAL_BANK,BR007,Savings,P001242,2024-06-05,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000091,XXXX24430091,SYNTH_STATE_BANK,BR001,Savings,P000782,2018-11-08,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000092,XXXX85070092,SYNTH_CITY_BANK,BR004,Savings,P000926,2023-03-04,,Active,Expired,Pune,true,SYNTH_KYC_DB
ACC000093,XXXX58310093,SYNTH_COOPERATIVE_BANK,BR005,Current,P005990,2015-01-26,,Frozen,Verified,Pune,true,SYNTH_LEGACY_BANK
ACC000094,XXXX54150094,SYNTH_UNION_BANK,BR003,Savings,P000029,2017-08-20,,Active,Expired,Pune,true,SYNTH_LEGACY_BANK
ACC000095,XXXX37150095,SYNTH_STATE_BANK,BR001,Joint,P005601,2015-02-16,2022-11-15,Closed,Expired,Pune,true,SYNTH_LEGACY_BANK
ACC000096,XXXX73850096,SYNTH_METRO_BANK,BR006,Current,P003459,2019-03-25,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000097,XXXX56670097,SYNTH_STATE_BANK,BR001,Savings,P002901,2015-09-01,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000098,XXXX55970098,SYNTH_STATE_BANK,BR001,Current,P002823,2018-12-11,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000099,XXXX71240099,SYNTH_NATIONAL_BANK,BR002,Joint,P005926,2013-12-08,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000100,XXXX19160100,SYNTH_METRO_BANK,BR006,Savings,P004807,2025-02-06,,Active,Restricted,Pune,true,SYNTH_BANK_CORE
ACC000101,XXXX96180101,SYNTH_COMMERCIAL_BANK,BR008,Savings,P001586,2026-08-06,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000102,XXXX65300102,SYNTH_COMMERCIAL_BANK,BR008,Savings,P003130,2015-04-04,,Dormant,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000103,XXXX54320103,SYNTH_UNION_BANK,BR003,Savings,P004596,2018-08-21,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000104,XXXX94430104,SYNTH_REGIONAL_BANK,BR007,Savings,P000644,2019-09-09,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000105,XXXX98480105,SYNTH_STATE_BANK,BR001,Savings,P004094,2013-09-28,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000106,XXXX85840106,SYNTH_NATIONAL_BANK,BR002,Joint,P001467,2016-04-06,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000107,XXXX32690107,SYNTH_CITY_BANK,BR004,Current,P002928,2014-03-10,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000108,XXXX73790108,SYNTH_METRO_BANK,BR006,Salary,P006660,2020-06-12,2024-04-10,Closed,Verified,Pune,false,SYNTH_BANK_CORE
ACC000109,XXXX27520109,SYNTH_CITY_BANK,BR004,Savings,P003435,2021-07-04,,Active,Pending,Pune,false,SYNTH_BANK_CORE
ACC000110,XXXX14960110,SYNTH_REGIONAL_BANK,BR007,Savings,P000286,2025-10-11,,Dormant,Expired,Pune,true,SYNTH_KYC_DB
ACC000111,XXXX13640111,SYNTH_REGIONAL_BANK,BR007,Current,P000167,2025-01-18,,Frozen,Verified,Pune,true,SYNTH_BANK_CORE
ACC000112,XXXX37860112,SYNTH_COOPERATIVE_BANK,BR005,Savings,P002813,2012-04-28,2015-11-07,Closed,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000113,XXXX79230113,SYNTH_COMMERCIAL_BANK,BR008,Joint,P000296,2016-09-17,,Active,Expired,Pune,true,SYNTH_FINANCE_DB
ACC000114,XXXX76790114,SYNTH_CITY_BANK,BR004,Savings,P000666,2012-06-04,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000115,XXXX61990115,SYNTH_REGIONAL_BANK,BR007,Savings,P004046,2018-06-06,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000116,XXXX85330116,SYNTH_STATE_BANK,BR001,Current,P000839,2022-07-03,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000117,XXXX21470117,SYNTH_UNION_BANK,BR003,Savings,P001992,2014-03-01,,Dormant,Verified,Pune,false,SYNTH_BANK_CORE
ACC000118,XXXX38580118,SYNTH_COMMERCIAL_BANK,BR008,Savings,P002686,2018-11-26,,Active,Pending,Pune,false,SYNTH_KYC_DB
ACC000119,XXXX52740119,SYNTH_REGIONAL_BANK,BR007,Current,P000967,2018-06-26,2023-10-31,Closed,Expired,Pune,true,SYNTH_LEGACY_BANK
ACC000120,XXXX75100120,SYNTH_METRO_BANK,BR006,Savings,P006966,2026-03-22,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000121,XXXX24260121,SYNTH_NATIONAL_BANK,BR002,Current,P000467,2025-01-11,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000122,XXXX57360122,SYNTH_UNION_BANK,BR003,Savings,P006223,2020-05-03,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000123,XXXX31480123,SYNTH_CITY_BANK,BR004,Business,P001118,2021-01-17,,Dormant,Verified,Pune,false,SYNTH_BANK_CORE
ACC000124,XXXX43900124,SYNTH_REGIONAL_BANK,BR007,Savings,P005673,2014-01-30,2023-01-31,Closed,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000125,XXXX71370125,SYNTH_COMMERCIAL_BANK,BR008,Savings,P003711,2019-03-24,,Dormant,Pending,Pune,false,SYNTH_BANK_CORE
ACC000126,XXXX29400126,SYNTH_NATIONAL_BANK,BR002,Savings,P005927,2024-03-21,,Dormant,Verified,Pune,false,SYNTH_KYC_DB
ACC000127,XXXX60050127,SYNTH_METRO_BANK,BR006,Current,P002496,2024-05-24,,Dormant,Verified,Pune,true,SYNTH_BANK_CORE
ACC000128,XXXX39990128,SYNTH_COMMERCIAL_BANK,BR008,Savings,P005653,2019-11-21,,Active,Expired,Pune,true,SYNTH_BANK_CORE
ACC000129,XXXX12650129,SYNTH_COMMERCIAL_BANK,BR008,Savings,P006802,2017-12-18,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000130,XXXX92000130,SYNTH_STATE_BANK,BR001,Savings,P003123,2024-06-03,,Dormant,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000131,XXXX85030131,SYNTH_REGIONAL_BANK,BR007,Current,P001082,2016-12-07,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000132,XXXX32100132,SYNTH_COOPERATIVE_BANK,BR005,Savings,P001753,2022-11-13,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000133,XXXX64960133,SYNTH_COOPERATIVE_BANK,BR005,Savings,P004658,2013-05-02,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000134,XXXX14010134,SYNTH_NATIONAL_BANK,BR002,Savings,P002738,2015-12-04,,Active,Pending,Pune,false,SYNTH_BANK_CORE
ACC000135,XXXX51920135,SYNTH_COOPERATIVE_BANK,BR005,Savings,P004654,2013-08-05,,Dormant,Verified,Pune,true,SYNTH_LEGACY_BANK
ACC000136,XXXX41230136,SYNTH_STATE_BANK,BR001,Savings,P003107,2023-04-13,,Frozen,Verified,Pune,true,SYNTH_LEGACY_BANK
ACC000137,XXXX74240137,SYNTH_COMMERCIAL_BANK,BR008,Savings,P001912,2016-04-12,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000138,XXXX68050138,SYNTH_UNION_BANK,BR003,Savings,P004014,2020-07-09,,Active,Pending,Pune,false,SYNTH_KYC_DB
ACC000139,XXXX86340139,SYNTH_REGIONAL_BANK,BR007,Savings,P006211,2012-01-28,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000140,XXXX16530140,SYNTH_UNION_BANK,BR003,Salary,P000518,2020-09-28,,Active,Expired,Pune,true,SYNTH_FINANCE_DB
ACC000141,XXXX51260141,SYNTH_UNION_BANK,BR003,Savings,P000871,2017-06-07,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000142,XXXX87110142,SYNTH_COMMERCIAL_BANK,BR008,Savings,P006281,2018-12-01,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000143,XXXX20110143,SYNTH_CITY_BANK,BR004,Savings,P006477,2018-05-10,2022-05-09,Closed,Verified,Pune,false,SYNTH_KYC_DB
ACC000144,XXXX20790144,SYNTH_UNION_BANK,BR003,Savings,P004082,2016-07-16,2022-04-14,Closed,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000145,XXXX55350145,SYNTH_COMMERCIAL_BANK,BR008,Savings,P004261,2023-02-20,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000146,XXXX53480146,SYNTH_COMMERCIAL_BANK,BR008,Joint,P004232,2020-09-20,,Dormant,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000147,XXXX24340147,SYNTH_REGIONAL_BANK,BR007,Savings,P000474,2024-03-12,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000148,XXXX61320148,SYNTH_UNION_BANK,BR003,Current,P005442,2012-06-01,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000149,XXXX99170149,SYNTH_COMMERCIAL_BANK,BR008,Savings,P001454,2012-03-15,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000150,XXXX32120150,SYNTH_REGIONAL_BANK,BR007,Savings,P003491,2020-12-18,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000151,XXXX36130151,SYNTH_STATE_BANK,BR001,Savings,P004961,2016-02-07,,Dormant,Verified,Pune,false,SYNTH_BANK_CORE
ACC000152,XXXX74690152,SYNTH_NATIONAL_BANK,BR002,Savings,P002403,2022-08-07,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000153,XXXX95990153,SYNTH_COMMERCIAL_BANK,BR008,Salary,P000545,2016-04-11,,Dormant,Expired,Pune,true,SYNTH_LEGACY_BANK
ACC000154,XXXX87930154,SYNTH_NATIONAL_BANK,BR002,Current,P000355,2021-02-09,,Dormant,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000155,XXXX80740155,SYNTH_METRO_BANK,BR006,Savings,P003395,2018-04-25,,Dormant,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000156,XXXX60080156,SYNTH_UNION_BANK,BR003,Savings,P006573,2013-10-20,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000157,XXXX35110157,SYNTH_METRO_BANK,BR006,Savings,P000978,2022-03-14,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000158,XXXX98030158,SYNTH_STATE_BANK,BR001,Savings,P001804,2025-12-11,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000159,XXXX66790159,SYNTH_UNION_BANK,BR003,Current,P002928,2016-06-30,,Frozen,Verified,Pune,true,SYNTH_FINANCE_DB
ACC000160,XXXX19150160,SYNTH_NATIONAL_BANK,BR002,Business,P004568,2023-07-24,,Frozen,Verified,Pune,true,SYNTH_KYC_DB
ACC000161,XXXX30440161,SYNTH_CITY_BANK,BR004,Current,P001606,2023-09-27,,Dormant,Verified,Pune,false,SYNTH_KYC_DB
ACC000162,XXXX90360162,SYNTH_STATE_BANK,BR001,Current,P006503,2014-01-12,,Dormant,Verified,Pune,true,SYNTH_KYC_DB
ACC000163,XXXX22580163,SYNTH_REGIONAL_BANK,BR007,Current,P006743,2018-09-24,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000164,XXXX25310164,SYNTH_COOPERATIVE_BANK,BR005,Savings,P000079,2019-12-19,2025-12-03,Closed,Expired,Pune,true,SYNTH_BANK_CORE
ACC000165,XXXX96590165,SYNTH_REGIONAL_BANK,BR007,Savings,P004182,2022-10-08,,Active,Verified,Pune,false,SYNTH_KYC_DB
ACC000166,XXXX32810166,SYNTH_COOPERATIVE_BANK,BR005,Salary,P003840,2022-10-08,2025-01-11,Closed,Verified,Pune,false,SYNTH_KYC_DB
ACC000167,XXXX36100167,SYNTH_COMMERCIAL_BANK,BR008,Current,P001772,2021-12-22,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000168,XXXX82640168,SYNTH_COMMERCIAL_BANK,BR008,Salary,P003780,2014-03-18,,Dormant,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000169,XXXX69270169,SYNTH_CITY_BANK,BR004,Savings,P006904,2019-07-23,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000170,XXXX23720170,SYNTH_STATE_BANK,BR001,Business,P001619,2020-07-20,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
ACC000171,XXXX21470171,SYNTH_METRO_BANK,BR006,Salary,P001104,2023-03-19,,Dormant,Expired,Pune,true,SYNTH_FINANCE_DB
ACC000172,XXXX76650172,SYNTH_CITY_BANK,BR004,Current,P001767,2022-05-19,,Active,Pending,Pune,false,SYNTH_LEGACY_BANK
ACC000173,XXXX13620173,SYNTH_COOPERATIVE_BANK,BR005,Savings,P000657,2017-11-16,,Active,Verified,Pune,false,SYNTH_BANK_CORE
ACC000174,XXXX59800174,SYNTH_COMMERCIAL_BANK,BR008,Savings,P000519,2014-01-06,,Active,Verified,Pune,false,SYNTH_LEGACY_BANK
ACC000175,XXXX15960175,SYNTH_STATE_BANK,BR001,Savings,P003643,2016-10-28,2025-09-11,Closed,Restricted,Pune,true,SYNTH_KYC_DB
ACC000176,XXXX48830176,SYNTH_COOPERATIVE_BANK,BR005,Current,P001738,2024-08-21,,Active,Verified,Pune,false,SYNTH_FINANCE_DB
