mention_id,document_id,case_id,text_span,start_char,end_char,entity_type,extracted_value,resolved_entity_id,confidence,resolution_status
EM00000086,DOC000018,C000018,Tejas S Kulkarni,44,60,PERSON,Tejas S Kulkarni,P002966,0.99,RESOLVED
EM00000087,DOC000018,C000018,Tanu Prakash Desai,148,166,PERSON,Tanu Prakash Desai,P005454,0.99,RESOLVED
EM00000088,DOC000018,C000018,MH15ML5067,250,260,VEHICLE,MH15ML5067,,0.0,UNRESOLVED
EM00000089,DOC000018,C000018,9728483167,280,290,PHONE,9728483167,,0.0,UNRESOLVED
EM00000090,DOC000018,C000018,Pimpri,129,135,LOCATION,Pimpri,,0.45,AMBIGUOUS
EM00000091,DOC000019,C000019,Simran Prakash Dhumal,47,68,PERSON,Simran Prakash Dhumal,P001544,0.99,RESOLVED
EM00000092,DOC000019,C000019,Rohit Ramesh Naik,161,178,PERSON,Rohit Ramesh Naik,P001753,0.99,RESOLVED
EM00000093,DOC000019,C000019,MH42FJ8382,262,272,VEHICLE,MH42FJ8382,,0.0,UNRESOLVED
EM00000094,DOC000019,C000019,9623509703,292,302,PHONE,9623509703,,0.0,UNRESOLVED
EM00000095,DOC000019,C000019,Bhosari,141,148,LOCATION,Bhosari,,0.45,AMBIGUOUS
EM00000096,DOC000020,C000020,Sonali Raj Sutar,45,61,PERSON,Sonali Raj Sutar,P000552,0.99,RESOLVED
EM00000097,DOC000020,C000020,Akash Chavan,144,156,PERSON,Akash Chavan,P000427,0.99,RESOLVED
EM00000098,DOC000020,C000020,MH42OD5564,240,250,VEHICLE,MH42OD5564,,0.0,UNRESOLVED
EM00000099,DOC000020,C000020,9726850190,270,280,PHONE,9726850190,,0.0,UNRESOLVED
EM00000100,DOC000020,C000020,Baner,126,131,LOCATION,Baner,,0.45,AMBIGUOUS
EM00000101,DOC000021,C000021,Tejas Shinde,48,60,PERSON,Tejas Shinde,P003471,0.99,RESOLVED
EM00000102,DOC000021,C000021,Mrunal Mahesh Patil,155,174,PERSON,Mrunal Mahesh Patil,P000926,0.99,RESOLVED
EM00000103,DOC000021,C000021,MH12LH7956,258,268,VEHICLE,MH12LH7956,,0.0,UNRESOLVED
EM00000104,DOC000021,C000021,9561053729,288,298,PHONE,9561053729,,0.0,UNRESOLVED
EM00000105,DOC000021,C000021,Chinchwad,133,142,LOCATION,Chinchwad,,0.45,AMBIGUOUS
EM00000106,DOC000022,C000022,Pallavi Joshi,46,59,PERSON,Pallavi Joshi,P006858,0.99,RESOLVED
EM00000107,DOC000022,C000022,Vaishnavi Mane,160,174,PERSON,Vaishnavi Mane,P006365,0.99,RESOLVED
EM00000108,DOC000022,C000022,MH14ZR5943,258,268,VEHICLE,MH14ZR5943,,0.0,UNRESOLVED
EM00000109,DOC000022,C000022,9120876371,288,298,PHONE,9120876371,,0.0,UNRESOLVED
EM00000110,DOC000022,C000022,Aundh,142,147,LOCATION,Aundh,,0.45,AMBIGUOUS
EM00000111,DOC000023,C000023,Sakshi Sawant,45,58,PERSON,Sakshi Sawant,P000150,0.99,RESOLVED
EM00000112,DOC000023,C000023,Anjali Sawant,145,158,PERSON,Anjali Sawant,P003813,0.99,RESOLVED
EM00000113,DOC000023,C000023,MH42AS1780,242,252,VEHICLE,MH42AS1780,,0.0,UNRESOLVED
EM00000114,DOC000023,C000023,9413854642,272,282,PHONE,9413854642,,0.0,UNRESOLVED
EM00000115,DOC000023,C000023,Aundh,127,132,LOCATION,Aundh,,0.45,AMBIGUOUS
EM00000116,DOC000024,C000024,Swapnil Mahesh Bhosale,46,68,PERSON,Swapnil Mahesh Bhosale,P004807,0.99,RESOLVED
EM00000117,DOC000024,C000024,Kajal P Dhumal,168,182,PERSON,Kajal P Dhumal,P003553,0.99,RESOLVED
EM00000118,DOC000024,C000024,MH14BZ8819,266,276,VEHICLE,MH14BZ8819,,0.0,UNRESOLVED
EM00000119,DOC000024,C000024,9152113835,296,306,PHONE,9152113835,,0.0,UNRESOLVED
EM00000120,DOC000024,C000024,Shivajinagar,143,155,LOCATION,Shivajinagar,,0.45,AMBIGUOUS
EM00000121,DOC000025,C000025,Atharva D Bhosale,45,62,PERSON,Atharva D Bhosale,P003076,0.99,RESOLVED
EM00000122,DOC000025,C000025,Sakshi Patil,160,172,PERSON,Sakshi Patil,P001012,0.99,RESOLVED
EM00000123,DOC000025,C000025,MH12LC1860,256,266,VEHICLE,MH12LC1860,,0.0,UNRESOLVED
EM00000124,DOC000025,C000025,9158621616,286,296,PHONE,9158621616,,0.0,UNRESOLVED
EM00000125,DOC000025,C000025,Kothrud,140,147,LOCATION,Kothrud,,0.45,AMBIGUOUS
EM00000126,DOC000026,C000026,M. Pande,46,54,PERSON,M. Pande,P001516,0.99,RESOLVED
EM00000127,DOC000026,C000026,Aanya Salunkhe,163,177,PERSON,Aanya Salunkhe,P002722,0.99,RESOLVED
EM00000128,DOC000026,C000026,MH15OH9737,261,271,VEHICLE,MH15OH9737,,0.0,UNRESOLVED
EM00000129,DOC000026,C000026,9623202463,291,301,PHONE,9623202463,,0.0,UNRESOLVED
EM00000130,DOC000026,C000026,Kothrud,143,150,LOCATION,Kothrud,,0.45,AMBIGUOUS
EM00000131,DOC000027,C000027,Aniket Gore,48,59,PERSON,Aniket Gore,P000425,0.99,RESOLVED
EM00000132,DOC000027,C000027,Tejas Dilip Gaikwad,149,168,PERSON,Tejas Dilip Gaikwad,P002847,0.99,RESOLVED
EM00000133,DOC000027,C000027,MH14UT8111,252,262,VEHICLE,MH14UT8111,,0.0,UNRESOLVED
EM00000134,DOC000027,C000027,9699719847,282,292,PHONE,9699719847,,0.0,UNRESOLVED
EM00000135,DOC000027,C000027,Hadapsar,128,136,LOCATION,Hadapsar,,0.45,AMBIGUOUS
EM00000136,DOC000028,C000028,Nikhil Gore,48,59,PERSON,Nikhil Gore,P005683,0.99,RESOLVED
EM00000137,DOC000028,C000028,Rohit Sanjay Shinde,153,172,PERSON,Rohit Sanjay Shinde,P001309,0.99,RESOLVED
EM00000138,DOC000028,C000028,MH42DU9603,256,266,VEHICLE,MH42DU9603,,0.0,UNRESOLVED
EM00000139,DOC000028,C000028,9930670313,286,296,PHONE,9930670313,,0.0,UNRESOLVED
EM00000140,DOC000028,C000028,Yerawada,132,140,LOCATION,Yerawada,,0.45,AMBIGUOUS
EM00000141,DOC000029,C000029,Kunal Kiran Deshmukh,43,63,PERSON,Kunal Kiran Deshmukh,P006694,0.99,RESOLVED
EM00000142,DOC000029,C000029,R. Joshi,168,176,PERSON,R. Joshi,P005917,0.99,RESOLVED
EM00000143,DOC000029,C000029,MH12TQ7252,260,270,VEHICLE,MH12TQ7252,,0.0,UNRESOLVED
EM00000144,DOC000029,C000029,9847393939,290,300,PHONE,9847393939,,0.0,UNRESOLVED
EM00000145,DOC000029,C000029,Kothrud,148,155,LOCATION,Kothrud,,0.45,AMBIGUOUS
EM00000146,DOC000030,C000030,Tanvi Naik,45,55,PERSON,Tanvi Naik,P000391,0.99,RESOLVED
EM00000147,DOC000030,C000030,Madhura Sutar,134,147,PERSON,Madhura Sutar,P006001,0.99,RESOLVED
EM00000148,DOC000030,C000030,MH12MH4222,231,241,VEHICLE,MH12MH4222,,0.0,UNRESOLVED
EM00000149,DOC000030,C000030,9306696085,261,271,PHONE,9306696085,,0.0,UNRESOLVED
EM00000150,DOC000030,C000030,Kondhwa,114,121,LOCATION,Kondhwa,,0.45,AMBIGUOUS
EM00000151,DOC000031,C000031,S. Salunkhe,44,55,PERSON,S. Salunkhe,P004685,0.99,RESOLVED
EM00000152,DOC000031,C000031,Mrunal Chavan,139,152,PERSON,Mrunal Chavan,P006545,0.99,RESOLVED
EM00000153,DOC000031,C000031,MH42UR9807,236,246,VEHICLE,MH42UR9807,,0.0,UNRESOLVED
EM00000154,DOC000031,C000031,9379524097,266,276,PHONE,9379524097,,0.0,UNRESOLVED
EM00000155,DOC000031,C000031,Viman Nagar,115,126,LOCATION,Viman Nagar,,0.45,AMBIGUOUS
EM00000156,DOC000032,C000032,Aarav Patil,43,54,PERSON,Aarav Patil,P000335,0.99,RESOLVED
EM00000157,DOC000032,C000032,Aniket Kumar Gore,161,178,PERSON,Aniket Kumar Gore,P000985,0.99,RESOLVED
EM00000158,DOC000032,C000032,MH15JH5724,262,272,VEHICLE,MH15JH5724,,0.0,UNRESOLVED
EM00000159,DOC000032,C000032,9709246112,292,302,PHONE,9709246112,,0.0,UNRESOLVED
EM00000160,DOC000032,C000032,Baner,143,148,LOCATION,Baner,,0.45,AMBIGUOUS
EM00000161,DOC000033,C000033,Yash M Pande,47,59,PERSON,Yash M Pande,P000032,0.99,RESOLVED
EM00000162,DOC000033,C000033,Simran Kulkarni,155,170,PERSON,Simran Kulkarni,P006800,0.99,RESOLVED
EM00000163,DOC000033,C000033,MH14KF5502,254,264,VEHICLE,MH14KF5502,,0.0,UNRESOLVED
EM00000164,DOC000033,C000033,9108093709,284,294,PHONE,9108093709,,0.0,UNRESOLVED
EM00000165,DOC000033,C000033,Kothrud,135,142,LOCATION,Kothrud,,0.45,AMBIGUOUS
EM00000166,DOC000034,C000034,Nikhil N.,43,52,PERSON,Nikhil N.,P002134,0.99,RESOLVED
EM00000167,DOC000034,C000034,Akash Desai,147,158,PERSON,Akash Desai,P003017,0.99,RESOLVED
EM00000168,DOC000034,C000034,MH14WR4311,242,252,VEHICLE,MH14WR4311,,0.0,UNRESOLVED
EM00000169,DOC000034,C000034,9620958689,272,282,PHONE,9620958689,,0.0,UNRESOLVED
EM00000170,DOC000034,C000034,Chinchwad,125,134,LOCATION,Chinchwad,,0.45,AMBIGUOUS
EM00000171,DOC000035,C000035,Akash Naik,48,58,PERSON,Akash Naik,P006465,0.99,RESOLVED
EM00000172,DOC000035,C000035,Nikita Sharma,152,165,PERSON,Nikita Sharma,P001308,0.99,RESOLVED
EM00000173,DOC000035,C000035,MH15QB7102,249,259,VEHICLE,MH15QB7102,,0.0,UNRESOLVED
EM00000174,DOC000035,C000035,9393290216,279,289,PHONE,9393290216,,0.0,UNRESOLVED
EM00000175,DOC000035,C000035,Shivajinagar,127,139,LOCATION,Shivajinagar,,0.45,AMBIGUOUS
EM00000176,DOC000036,C000036,Madhura R Joshi,43,58,PERSON,Madhura R Joshi,P003607,0.99,RESOLVED
EM00000177,DOC000036,C000036,Ananya M Bhosale,165,181,PERSON,Ananya M Bhosale,P002130,0.99,RESOLVED
EM00000178,DOC000036,C000036,MH42RU9174,265,275,VEHICLE,MH42RU9174,,0.0,UNRESOLVED
EM00000179,DOC000036,C000036,9476364906,295,305,PHONE,9476364906,,0.0,UNRESOLVED
EM00000180,DOC000036,C000036,Aundh,147,152,LOCATION,Aundh,,0.45,AMBIGUOUS
EM00000181,DOC000037,C000037,Sahil Dilip Pande,43,60,PERSON,Sahil Dilip Pande,P006643,0.99,RESOLVED
EM00000182,DOC000037,C000037,Manish M Shinde,157,172,PERSON,Manish M Shinde,P003047,0.99,RESOLVED
EM00000183,DOC000037,C000037,MH15RC1000,256,266,VEHICLE,MH15RC1000,,0.0,UNRESOLVED
EM00000184,DOC000037,C000037,9436546460,286,296,PHONE,9436546460,,0.0,UNRESOLVED
EM00000185,DOC000037,C000037,Katraj,138,144,LOCATION,Katraj,,0.45,AMBIGUOUS
EM00000186,DOC000038,C000038,Pranav Mane,48,59,PERSON,Pranav Mane,P005676,0.99,RESOLVED
EM00000187,DOC000038,C000038,Gaurav Deshmukh,136,151,PERSON,Gaurav Deshmukh,P000577,0.99,RESOLVED
EM00000188,DOC000038,C000038,MH14JA1534,235,245,VEHICLE,MH14JA1534,,0.0,UNRESOLVED
EM00000189,DOC000038,C000038,9976359578,265,275,PHONE,9976359578,,0.0,UNRESOLVED
EM00000190,DOC000038,C000038,Aundh,118,123,LOCATION,Aundh,,0.45,AMBIGUOUS
EM00000191,DOC000039,C000039,Nikita A Bhosale,48,64,PERSON,Nikita A Bhosale,P004294,0.99,RESOLVED
EM00000192,DOC000039,C000039,Anjali Chavan,165,178,PERSON,Anjali Chavan,P004187,0.99,RESOLVED
EM00000193,DOC000039,C000039,MH12NY4251,262,272,VEHICLE,MH12NY4251,,0.0,UNRESOLVED
EM00000194,DOC000039,C000039,9224273810,292,302,PHONE,9224273810,,0.0,UNRESOLVED
EM00000195,DOC000039,C000039,Vishrantwadi,140,152,LOCATION,Vishrantwadi,,0.45,AMBIGUOUS
EM00000196,DOC000040,C000040,Yash Kulkarni,43,56,PERSON,Yash Kulkarni,P006535,0.99,RESOLVED
EM00000197,DOC000040,C000040,Shiv Bhosale,135,147,PERSON,Shiv Bhosale,P004983,0.99,RESOLVED
EM00000198,DOC000040,C000040,MH42YA3499,231,241,VEHICLE,MH42YA3499,,0.0,UNRESOLVED
EM00000199,DOC000040,C000040,9436254465,261,271,PHONE,9436254465,,0.0,UNRESOLVED
EM00000200,DOC000040,C000040,Bhosari,115,122,LOCATION,Bhosari,,0.45,AMBIGUOUS
EM00000201,DOC000041,C000041,Pallavi Sanjay Dhumal,48,69,PERSON,Pallavi Sanjay Dhumal,P003983,0.99,RESOLVED
EM00000202,DOC000041,C000041,Manish Gore,159,170,PERSON,Manish Gore,P003659,0.99,RESOLVED
EM00000203,DOC000041,C000041,MH15AW9406,254,264,VEHICLE,MH15AW9406,,0.0,UNRESOLVED
EM00000204,DOC000041,C000041,9562157672,284,294,PHONE,9562157672,,0.0,UNRESOLVED
EM00000205,DOC000041,C000041,Swargate,138,146,LOCATION,Swargate,,0.45,AMBIGUOUS
EM00000206,DOC000042,C000042,Rahul R Gore,48,60,PERSON,Rahul R Gore,P001155,0.99,RESOLVED
EM00000207,DOC000042,C000042,Harsh D Kadam,158,171,PERSON,Harsh D Kadam,P002612,0.99,RESOLVED
EM00000208,DOC000042,C000042,MH12QB3401,255,265,VEHICLE,MH12QB3401,,0.0,UNRESOLVED
EM00000209,DOC000042,C000042,9755781567,285,295,PHONE,9755781567,,0.0,UNRESOLVED
EM00000210,DOC000042,C000042,Shivajinagar,133,145,LOCATION,Shivajinagar,,0.45,AMBIGUOUS
EM00000211,DOC000043,C000043,Riya R Sutar,44,56,PERSON,Riya R Sutar,P004922,0.99,RESOLVED
EM00000212,DOC000043,C000043,Kajal Sawant,152,164,PERSON,Kajal Sawant,P001191,0.99,RESOLVED
EM00000213,DOC000043,C000043,MH42KB4247,248,258,VEHICLE,MH42KB4247,,0.0,UNRESOLVED
EM00000214,DOC000043,C000043,9647921776,278,288,PHONE,9647921776,,0.0,UNRESOLVED
EM00000215,DOC000043,C000043,Kothrud,132,139,LOCATION,Kothrud,,0.45,AMBIGUOUS
EM00000216,DOC000044,C000044,Sahil Wagh,48,58,PERSON,Sahil Wagh,P001974,0.99,RESOLVED
EM00000217,DOC000044,C000044,Tanvi Wagh,151,161,PERSON,Tanvi Wagh,P001550,0.99,RESOLVED
EM00000218,DOC000044,C000044,MH42LO9802,245,255,VEHICLE,MH42LO9802,,0.0,UNRESOLVED
EM00000219,DOC000044,C000044,9884836108,275,285,PHONE,9884836108,,0.0,UNRESOLVED
EM00000220,DOC000044,C000044,Baner,133,138,LOCATION,Baner,,0.45,AMBIGUOUS
EM00000221,DOC000045,C000045,Bhavana Pande,45,58,PERSON,Bhavana Pande,P002493,0.99,RESOLVED
EM00000222,DOC000045,C000045,Nikhil M Patil,151,165,PERSON,Nikhil M Patil,P003404,0.99,RESOLVED
EM00000223,DOC000045,C000045,MH12BM4943,249,259,VEHICLE,MH12BM4943,,0.0,UNRESOLVED
EM00000224,DOC000045,C000045,9389505479,279,289,PHONE,9389505479,,0.0,UNRESOLVED
EM00000225,DOC000045,C000045,Viman Nagar,127,138,LOCATION,Viman Nagar,,0.45,AMBIGUOUS
EM00000226,DOC000046,C000046,Komal Kiran Kale,48,64,PERSON,Komal Kiran Kale,P001259,0.99,RESOLVED
EM00000227,DOC000046,C000046,Saurabh Desai,165,178,PERSON,Saurabh Desai,P000275,0.99,RESOLVED
EM00000228,DOC000046,C000046,MH12YO3492,262,272,VEHICLE,MH12YO3492,,0.0,UNRESOLVED
EM00000229,DOC000046,C000046,9492455820,292,302,PHONE,9492455820,,0.0,UNRESOLVED
EM00000230,DOC000046,C000046,Aundh,147,152,LOCATION,Aundh,,0.45,AMBIGUOUS
EM00000231,DOC000047,C000047,Shruti Mane,48,59,PERSON,Shruti Mane,P001664,0.99,RESOLVED
EM00000232,DOC000047,C000047,Rohit Pande,158,169,PERSON,Rohit Pande,P002786,0.99,RESOLVED
EM00000233,DOC000047,C000047,MH12VN5788,253,263,VEHICLE,MH12VN5788,,0.0,UNRESOLVED
EM00000234,DOC000047,C000047,9733108878,283,293,PHONE,9733108878,,0.0,UNRESOLVED
EM00000235,DOC000047,C000047,Dhankawadi,135,145,LOCATION,Dhankawadi,,0.45,AMBIGUOUS
EM00000236,DOC000048,C000048,Aditi Jadhav,49,61,PERSON,Aditi Jadhav,P001999,0.99,RESOLVED
EM00000237,DOC000048,C000048,Amit Prakash Gaikwad,139,159,PERSON,Amit Prakash Gaikwad,P002176,0.99,RESOLVED
EM00000238,DOC000048,C000048,MH14ZB2419,243,253,VEHICLE,MH14ZB2419,,0.0,UNRESOLVED
EM00000239,DOC000048,C000048,9899916530,273,283,PHONE,9899916530,,0.0,UNRESOLVED
EM00000240,DOC000048,C000048,Aundh,121,126,LOCATION,Aundh,,0.45,AMBIGUOUS
EM00000241,DOC000049,C000049,Aarav Ramesh Thakur,48,67,PERSON,Aarav Ramesh Thakur,P005833,0.99,RESOLVED
EM00000242,DOC000049,C000049,Anjali Vijay Wagh,176,193,PERSON,Anjali Vijay Wagh,P005918,0.99,RESOLVED
EM00000243,DOC000049,C000049,MH12UN3016,277,287,VEHICLE,MH12UN3016,,0.0,UNRESOLVED
EM00000244,DOC000049,C000049,9747736598,307,317,PHONE,9747736598,,0.0,UNRESOLVED
EM00000245,DOC000049,C000049,Viman Nagar,152,163,LOCATION,Viman Nagar,,0.45,AMBIGUOUS
EM00000246,DOC000050,C000050,Vivek Kadam,48,59,PERSON,Vivek Kadam,P001641,0.99,RESOLVED
EM00000247,DOC000050,C000050,Pranav Anil Pande,151,168,PERSON,Pranav Anil Pande,P005934,0.99,RESOLVED
