person_id,full_name,alias_name,gender,date_of_birth,age,nationality,occupation,address,city,district,state,pincode,email,person_status,known_since,source_system,record_confidence,created_at,updated_at
P000029,Sakshi Deshmukh,,Female,1989-02-01,37,Indian,Business Owner,"224, Canal Road, Shivajinagar, Pune",Pune,Pune,Maharashtra,411005,sakshi.deshmukh847@example.test,Person of Interest,2021-02-10,INTELLIGENCE_DB,0.88,2023-07-19T05:36:00,2025-09-13T00:36:00
P004500,Sahil Gore,Sahil G.,Male,1977-08-12,49,Indian,Retired,"822, College Road, Chinchwad, Pune",Pune,Pune,Maharashtra,411033,sgore568@example.test,Person of Interest,2013-08-08,INTELLIGENCE_DB,0.93,2023-07-07T21:51:00,2025-06-12T12:31:00
P003513,Kiran Salunkhe,Kiran,Other,1995-03-02,31,Indian,Skilled Worker,"720, Main Road, Swargate, Pune",Pune,Pune,Maharashtra,411037,kiran.salunkhe@example.test,Complainant,2016-12-11,CASE_DB,0.944,2017-03-11T18:08:00,2018-04-04T08:36:00
P004547,Kajal K Desai,,Female,1981-09-02,44,Indian,Self Employed,"532, Temple Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,kajaldesai@example.test,Witness,2024-04-10,CASE_DB,0.894,2024-11-14T11:26:00,2025-06-23T14:09:00
P002651,Isha Kadam,Isha,Female,1995-05-17,31,Indian,Private Employee,"238, Link Road, Hadapsar, Pune",Pune,Pune,Maharashtra,411028,isha.kadam727@example.test,Person of Interest,2015-11-18,CASE_DB,0.944,2026-05-12T01:33:00,2026-06-03T18:51:00
P003424,Meera Desai,,Female,1992-10-16,33,Indian,Professional,"682, Station Road, Bhosari, Pune",Pune,Pune,Maharashtra,411039,mdesai36@example.test,Victim,2022-05-27,INTELLIGENCE_DB,0.88,2023-12-28T17:50:00,2025-11-05T18:32:00
P005534,Aarav Mane,,Male,1985-06-23,41,Indian,Private Employee,"978, Ring Road, Shivajinagar, Pune",Pune,Pune,Maharashtra,411005,aarav.mane@example.test,Accused,2018-02-28,IDENTITY_DB,0.922,2020-11-01T02:49:00,2023-10-25T11:10:00
P001510,Harsh Vijay Kale,H. Kale,Male,1994-11-26,31,British,Student,"961, Main Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,,Complainant,2024-10-27,INTELLIGENCE_DB,0.88,2026-08-06T02:25:00,2026-08-07T22:48:00
P000219,Tanvi Kale,,Female,1970-07-03,56,Indian,Private Employee,"381, Station Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,,Accused,2015-07-30,IDENTITY_DB,0.872,2018-04-19T09:13:00,2025-10-26T21:27:00
P004948,Akash R Bhosale,,Male,1989-08-26,37,Indian,Student,"548, Link Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,abhosale646@example.test,Person of Interest,2012-03-04,INTELLIGENCE_DB,0.88,2017-01-17T11:01:00,2019-09-28T08:24:00
P004916,Yash Kulkarni,,Male,1973-05-13,53,Indian,Daily Wage Worker,"114, Park Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,yash.kulkarni@example.test,Person of Interest,2021-02-07,IDENTITY_DB,0.922,2023-01-23T19:51:00,2023-04-10T12:02:00
P001657,Aarav Wagh,Aarav W.,Male,1965-09-17,60,Indian,Private Employee,"428, Canal Road, Hadapsar, Pune",Pune,Pune,Maharashtra,411028,aaravwagh@example.test,Person of Interest,2025-12-14,INTELLIGENCE_DB,0.93,2026-07-14T04:52:00,2026-07-28T05:37:00
P006833,Swapnil R Sharma,,Male,1984-01-07,42,Indian,Professional,"659, Park Road, Bhosari, Pune",Pune,Pune,Maharashtra,411039,swapnil.sharma266@example.test,Person of Interest,2017-04-14,INTELLIGENCE_DB,0.88,2024-07-22T06:55:00,2025-04-09T07:38:00
P004239,Vivek Kulkarni,,Male,1973-11-17,52,Indian,Private Employee,"433, College Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,vkulkarni260@example.test,Other,2025-08-12,IDENTITY_DB,0.922,2025-12-04T22:54:00,2026-07-19T21:46:00
P001585,Amit V Wagh,,Male,1970-04-24,56,Indian,Government Employee,"415, Station Road, Bhosari, Pune",Pune,Pune,Maharashtra,411039,,Person of Interest,2023-12-30,LEGACY_DB,0.774,2026-01-13T20:05:00,2026-01-25T17:29:00
P001118,Tejas Pawar,,Male,1996-03-14,30,Indian,Homemaker,"680, Canal Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,tejaspawar@example.test,Other,2017-12-27,INTELLIGENCE_DB,0.88,2025-04-10T01:21:00,2025-05-24T10:24:00
P002347,Meera Dilip Gaikwad,,Female,1985-07-06,41,Indian,Homemaker,"471, Link Road, Dhankawadi, Pune",Pune,Pune,Maharashtra,411043,meera.gaikwad271@example.test,Witness,2021-12-06,INTELLIGENCE_DB,0.88,2026-07-07T16:57:00,2026-08-24T09:11:00
P003247,Akash K Pande,,Male,1988-11-17,37,Indian,Daily Wage Worker,"695, Station Road, Yerawada, Pune",Pune,Pune,Maharashtra,411006,apande963@example.test,Witness,2020-12-19,LEGACY_DB,0.824,2024-05-23T13:52:00,2025-12-14T14:47:00
P004722,Atharva Sharma,,Male,1993-04-07,33,Indian,Private Employee,"293, Temple Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,atharva.sharma@example.test,Accused,2020-05-31,CASE_DB,0.894,2021-05-07T10:57:00,2023-12-07T19:00:00
P001595,Komal K Patil,,Female,1993-05-18,33,Indian,Government Employee,"716, Main Road, Vishrantwadi, Pune",Pune,Pune,Maharashtra,411015,komalpatil@example.test,Witness,2014-06-01,CASE_DB,0.894,2026-04-03T05:35:00,2026-08-23T03:55:00
P001496,Shruti Prakash Gore,,Female,1996-08-08,30,Indian,Private Employee,"943, College Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,shruti.gore770@example.test,Witness,2014-07-26,CASE_DB,0.894,2014-08-04T05:02:00,2018-06-10T02:14:00
P001720,Vikas Sawant,,Male,1986-11-06,39,Indian,Unemployed,"912, Canal Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,vsawant657@example.test,Other,2023-10-31,CASE_DB,0.894,2024-11-21T00:47:00,2026-03-05T19:46:00
P003166,Aditya K Dhumal,,Male,2000-01-11,26,Nepalese,Private Employee,"438, College Road, Chinchwad, Pune",Pune,Pune,Maharashtra,411033,aditya.dhumal@example.test,Witness,2016-12-22,FIELD_REPORT,0.852,2024-06-06T00:09:00,2024-07-29T06:10:00
P005039,Sahil Sawant,,Male,2001-11-04,24,Indian,Student,"284, Main Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,sahilsawant@example.test,Witness,2014-12-04,LEGACY_DB,0.824,2020-12-28T15:19:00,2022-01-16T23:33:00
P002545,Rohan R Deshmukh,,Male,1986-01-03,40,Indian,Private Employee,"885, Canal Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,rohan.deshmukh276@example.test,Person of Interest,2015-07-15,FIELD_REPORT,0.852,2018-05-06T22:27:00,2023-06-05T19:01:00
P006870,Aarav Prakash Bhosale,,Male,1962-09-04,63,Indian,Retired,"616, Main Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,,Complainant,2020-12-29,CASE_DB,0.844,2021-03-27T08:57:00,2025-11-15T10:02:00
P006852,Pooja V Sharma,,Female,1992-09-26,33,Indian,Private Employee,"661, Market Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,pooja.sharma@example.test,Complainant,2025-12-09,COURT_RECORD,0.908,2026-02-14T17:10:00,2026-06-11T21:39:00
P001940,Nandini Patil,,Female,1990-07-07,36,Indian,Private Employee,"228, Canal Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,nandinipatil@example.test,Accused,2022-12-26,COURT_RECORD,0.908,2024-08-10T07:28:00,2025-06-29T08:03:00
P001486,Riya Pande,Riya Prakash,Female,1995-07-10,31,Indian,Private Employee,"46, Temple Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,riya.pande772@example.test,Victim,2015-03-14,CASE_DB,0.944,2015-05-30T10:39:00,2024-08-19T07:07:00
P003531,Kajal Anil Sutar,K. Sutar,Female,1977-10-25,48,Indian,Retired,"968, Market Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,ksutar920@example.test,Other,2020-10-03,FIELD_REPORT,0.902,2024-04-20T09:21:00,2026-06-19T14:15:00
P003413,Aniket Pawar,,Male,1993-07-26,33,Indian,Government Employee,"130, College Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,aniket.pawar@example.test,Complainant,2021-10-11,CASE_DB,0.894,2023-11-30T02:26:00,2026-07-16T05:53:00
P004631,Rohan Desai,,Male,1995-08-15,31,Indian,Self Employed,"795, Temple Road, Hadapsar, Pune",Pune,Pune,Maharashtra,411028,rohandesai@example.test,Witness,2016-11-15,COURT_RECORD,0.908,2024-07-21T06:45:00,2026-08-25T20:16:00
P002430,Nikhil Desai,,Male,1992-09-28,33,Indian,Retired,"267, Park Road, Chinchwad, Pune",Pune,Pune,Maharashtra,411033,nikhil.desai791@example.test,Complainant,2013-05-01,CASE_DB,0.894,2021-04-10T13:43:00,2022-03-16T15:12:00
P006739,Simran Sawant,,Female,1984-03-12,42,Indian,Business Owner,"22, Nagar Road, Hadapsar, Pune",Pune,Pune,Maharashtra,411028,ssawant979@example.test,Complainant,2017-07-29,COURT_RECORD,0.908,2018-12-04T22:35:00,2026-01-06T15:44:00
P004740,Nikita Jadhav,,Female,1961-10-22,64,Nepalese,Private Employee,"634, Park Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,nikita.jadhav@example.test,Victim,2015-11-03,CASE_DB,0.894,2024-12-30T00:45:00,2025-05-19T05:56:00
P001627,Arjun Jadhav,,Male,1983-01-22,43,Indian,Private Employee,"580, Ring Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,arjunjadhav@example.test,Accused,2022-09-14,CASE_DB,0.894,2022-09-17T15:01:00,2024-06-20T22:10:00
P004057,Ananya Jadhav,,Female,1994-12-24,31,Indian,Private Employee,"248, Temple Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,ananya.jadhav790@example.test,Complainant,2013-04-25,INTELLIGENCE_DB,0.88,2014-07-13T21:02:00,2014-09-20T06:37:00
P003300,Mrunal Anil Sutar,Mrunal,Female,1966-04-08,60,Indian,Skilled Worker,"590, Market Road, Kondhwa, Pune",Pune,Pune,Maharashtra,411048,msutar61@example.test,Complainant,2014-07-09,LEGACY_DB,0.874,2014-08-08T17:53:00,2019-01-10T16:30:00
P000224,Siddharth Kiran Naik,,Male,1969-10-11,56,Indian,Private Employee,"117, Nagar Road, Swargate, Pune",Pune,Pune,Maharashtra,411037,siddharth.naik@example.test,Accused,2021-07-17,LEGACY_DB,0.824,2023-08-07T01:51:00,2025-03-13T02:55:00
P003005,Rahul V Sawant,,Male,1975-11-21,50,Indian,Private Employee,"896, Market Road, Shivajinagar, Pune",Pune,Pune,Maharashtra,411005,rahulsawant@example.test,Accused,2020-03-22,INTELLIGENCE_DB,0.88,2024-05-08T16:30:00,2024-12-21T01:36:00
P004332,Riyaan Naik,,Other,1985-02-19,41,Indian,Professional,"319, Market Road, Yerawada, Pune",Pune,Pune,Maharashtra,411006,riyaan.naik325@example.test,Other,2013-02-24,CASE_DB,0.894,2021-03-19T21:12:00,2024-04-16T04:45:00
P004351,Kiran Kiran Chavan,,Other,1997-06-15,29,Indian,Business Owner,"967, Temple Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,kchavan393@example.test,Other,2017-09-15,IDENTITY_DB,0.922,2026-07-27T06:11:00,2026-08-21T08:54:00
P000939,Akash Kiran Pande,Akash Vijay,Male,1990-12-05,35,Indian,Self Employed,"195, Canal Road, Kondhwa, Pune",Pune,Pune,Maharashtra,411048,akash.pande@example.test,Victim,2016-02-14,CASE_DB,0.944,2026-03-05T19:01:00,2026-03-11T00:06:00
P002136,Gaurav Ramesh Kulkarni,,Male,1997-02-13,29,Indian,Daily Wage Worker,"50, Station Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,gauravkulkarni@example.test,Victim,2021-11-25,CASE_DB,0.894,2025-12-23T23:27:00,2025-12-29T14:41:00
P002419,Priya Jadhav,Priya,Female,1972-08-26,54,Indian,Business Owner,"992, Canal Road, Aundh, Pune",Pune,Pune,Maharashtra,411007,priya.jadhav112@example.test,Witness,2023-04-17,IDENTITY_DB,0.972,2023-05-14T08:53:00,2025-06-11T05:13:00
P001415,Saurabh Pande,Saurabh Sanjay,Male,1986-10-14,39,Indian,Government Employee,"990, Temple Road, Bhosari, Pune",Pune,Pune,Maharashtra,411039,spande133@example.test,Complainant,2014-10-04,INTELLIGENCE_DB,0.93,2020-01-09T05:43:00,2022-10-30T17:40:00
P000872,Yash Raj Sutar,,Male,1980-11-26,45,Indian,Business Owner,"462, College Road, Aundh, Pune",Pune,Pune,Maharashtra,411007,yash.sutar@example.test,Accused,2012-03-17,LEGACY_DB,0.824,2019-07-08T14:37:00,2022-01-08T20:45:00
P007000,Mrunal S Pande,,Female,1999-05-16,27,American,Self Employed,"684, Park Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,mrunalpande@example.test,Complainant,2022-10-31,CASE_DB,0.894,2024-12-31T09:41:00,2026-07-17T03:33:00
P001400,Aniket Kumar Deshmukh,,Male,1980-12-11,45,Indian,Self Employed,"201, Ring Road, Aundh, Pune",Pune,Pune,Maharashtra,411007,aniket.deshmukh742@example.test,Witness,2020-10-31,COURT_RECORD,0.908,2022-06-06T07:40:00,2023-11-21T09:42:00
P004641,Rohan Kumar Naik,Rohan Raj,Male,2001-01-22,25,Indian,Business Owner,"696, College Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,,Person of Interest,2024-09-01,FIELD_REPORT,0.852,2025-04-23T18:23:00,2025-07-09T09:17:00
P003559,Isha Dhumal,,Female,1960-03-20,66,Indian,Daily Wage Worker,"337, Link Road, Wakad, Pune",Pune,Pune,Maharashtra,411057,isha.dhumal@example.test,Complainant,2015-02-21,IDENTITY_DB,0.922,2017-01-31T05:28:00,2023-04-18T00:00:00
P000283,Simran R Wagh,,Female,1991-08-11,35,Indian,Student,"854, Market Road, Kondhwa, Pune",Pune,Pune,Maharashtra,411048,simranwagh@example.test,Victim,2014-02-15,LEGACY_DB,0.824,2015-02-01T09:55:00,2021-10-18T15:26:00
P000930,Navi Jadhav,,Other,1988-12-24,37,Indian,Driver / Transport,"625, Temple Road, Bhosari, Pune",Pune,Pune,Maharashtra,411039,navi.jadhav993@example.test,Complainant,2024-08-15,INTELLIGENCE_DB,0.88,2025-09-13T05:33:00,2026-08-29T13:31:00
P003839,Amit Jadhav,,Male,1959-09-08,66,Indian,Private Employee,"741, Canal Road, Aundh, Pune",Pune,Pune,Maharashtra,411007,ajadhav857@example.test,Person of Interest,2025-07-25,FIELD_REPORT,0.852,2026-04-17T04:20:00,2026-07-13T17:32:00
P006023,Aanya Pande,Aanya Dilip,Female,1971-10-16,54,Indian,Student,"373, Park Road, Baner, Pune",Pune,Pune,Maharashtra,411045,aanya.pande@example.test,Complainant,2017-07-19,CASE_DB,0.944,2025-06-10T10:14:00,2025-08-06T19:47:00
P001453,Vikas Sawant,,Male,1967-08-09,59,Indian,Business Owner,"85, College Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,vikassawant@example.test,Victim,2018-10-15,CASE_DB,0.894,2024-06-18T21:30:00,2025-05-25T10:04:00
P001337,Sahil A Mane,,Male,2002-07-10,24,Indian,Driver / Transport,"75, Canal Road, Yerawada, Pune",Pune,Pune,Maharashtra,411006,sahil.mane831@example.test,Complainant,2021-03-17,INTELLIGENCE_DB,0.88,2021-12-05T18:28:00,2022-05-14T22:57:00
P002568,Mrunal Pande,Mrunal P.,Female,1998-09-25,27,Indian,Student,"386, Link Road, Baner, Pune",Pune,Pune,Maharashtra,411045,mpande675@example.test,Witness,2021-07-07,INTELLIGENCE_DB,0.93,2025-08-25T00:52:00,2026-03-14T03:36:00
P001815,Deepa Dilip Chavan,,Female,1985-11-22,40,Indian,Driver / Transport,"757, Link Road, Vishrantwadi, Pune",Pune,Pune,Maharashtra,411015,,Other,2014-04-22,LEGACY_DB,0.774,2017-01-05T00:34:00,2021-10-06T03:52:00
P003774,Nandini Jadhav,Nandini J.,Female,1998-03-11,28,Indian,Business Owner,"373, Link Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,,Person of Interest,2021-01-24,FIELD_REPORT,0.852,2021-09-22T23:50:00,2025-05-04T10:02:00
P000384,Amit V Jadhav,,Male,1995-05-09,31,Indian,Government Employee,"60, Temple Road, Yerawada, Pune",Pune,Pune,Maharashtra,411006,amit.jadhav114@example.test,Other,2016-05-13,LEGACY_DB,0.824,2016-07-13T21:07:00,2021-01-11T11:18:00
P004789,Vaishnavi Mane,,Female,1973-11-02,52,Indian,Business Owner,"560, Nagar Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,vmane484@example.test,Other,2022-05-09,CASE_DB,0.894,2022-12-09T03:05:00,2024-02-03T18:19:00
P005471,Vivek Salunkhe,,Male,1973-10-20,52,Indian,Business Owner,"976, Nagar Road, Wakad, Pune",Pune,Pune,Maharashtra,411057,,Witness,2021-05-23,CASE_DB,0.844,2025-12-25T13:58:00,2026-04-02T00:27:00
P006608,Ritesh Naik,Ritesh Mahesh,Male,1991-01-21,35,Indian,Self Employed,"789, Park Road, Baner, Pune",Pune,Pune,Maharashtra,411045,riteshnaik@example.test,Accused,2019-07-20,COURT_RECORD,0.958,2024-05-09T01:25:00,2026-06-05T18:40:00
P001828,Sonali M Gaikwad,,Female,1974-10-06,51,Indian,Government Employee,"675, Canal Road, Aundh, Pune",Pune,Pune,Maharashtra,411007,,Accused,2015-12-26,CASE_DB,0.844,2024-06-05T05:30:00,2025-03-04T22:20:00
P002417,Arjun Salunkhe,,Male,1991-01-11,35,Indian,Government Employee,"833, Station Road, Swargate, Pune",Pune,Pune,Maharashtra,411037,asalunkhe395@example.test,Victim,2020-10-10,LEGACY_DB,0.824,2023-08-25T07:48:00,2025-03-18T02:24:00
P005225,Kavya R Sawant,Kavya,Female,1968-08-21,58,Indian,Self Employed,"325, Park Road, Kondhwa, Pune",Pune,Pune,Maharashtra,411048,kavya.sawant@example.test,Complainant,2012-12-19,CASE_DB,0.944,2024-10-12T06:20:00,2025-03-23T00:55:00
P003775,Vaishnavi Jadhav,,Female,1990-09-27,35,Indian,Government Employee,"776, Temple Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,vaishnavijadhav@example.test,Person of Interest,2017-03-01,FIELD_REPORT,0.852,2017-11-29T09:37:00,2018-11-22T12:12:00
P000752,Ritesh M Joshi,,Male,1963-11-08,62,Indian,Retired,"271, Link Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,ritesh.joshi418@example.test,Victim,2015-05-16,COURT_RECORD,0.908,2017-11-21T02:30:00,2024-07-25T01:24:00
P003524,Kajal K Shinde,Kajal,Female,1996-07-25,30,Indian,Private Employee,"325, Market Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,kshinde608@example.test,Other,2012-02-01,IDENTITY_DB,0.972,2016-06-29T00:00:00,2018-03-09T23:57:00
P005848,Sahil Bhosale,Sahil,Male,1981-05-14,45,Indian,Student,"352, Link Road, Bhosari, Pune",Pune,Pune,Maharashtra,411039,sahil.bhosale@example.test,Witness,2015-06-02,FIELD_REPORT,0.902,2020-12-21T03:09:00,2022-02-10T03:02:00
P000415,Arjun Desai,,Male,1977-06-17,49,Indian,Student,"97, Market Road, Baner, Pune",Pune,Pune,Maharashtra,411045,arjundesai@example.test,Person of Interest,2015-05-28,COURT_RECORD,0.908,2019-10-31T00:44:00,2024-04-11T04:20:00
P005072,Vikas Desai,,Male,1969-02-26,57,British,Student,"724, Market Road, Dhankawadi, Pune",Pune,Pune,Maharashtra,411043,vikas.desai918@example.test,Accused,2015-09-06,IDENTITY_DB,0.922,2018-06-24T05:03:00,2026-08-28T19:46:00
P005206,Tanvi Pawar,,Female,1976-12-07,49,Indian,Business Owner,"11, Canal Road, Hadapsar, Pune",Pune,Pune,Maharashtra,411028,tpawar323@example.test,Witness,2020-06-14,CASE_DB,0.894,2026-03-06T17:26:00,2026-08-16T18:06:00
P006537,Sahil Ramesh Deshmukh,,Male,1978-03-26,48,Indian,Government Employee,"823, Ring Road, Yerawada, Pune",Pune,Pune,Maharashtra,411006,sahil.deshmukh@example.test,Victim,2024-12-18,LEGACY_DB,0.824,2025-07-09T23:01:00,2025-07-19T23:40:00
P004992,Anjali Ramesh Shinde,,Female,2005-01-24,21,Indian,Student,"337, Park Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,anjalishinde@example.test,Victim,2022-01-28,LEGACY_DB,0.824,2024-03-25T07:17:00,2024-06-15T05:35:00
P000915,Komal Kulkarni,Komal K.,Female,1989-04-08,37,Indian,Self Employed,"850, Main Road, Yerawada, Pune",Pune,Pune,Maharashtra,411006,komal.kulkarni277@example.test,Person of Interest,2018-11-27,IDENTITY_DB,0.972,2020-10-31T04:46:00,2026-04-10T00:22:00
P002405,Rohan Gore,Rohan G.,Male,1995-12-23,30,Indian,Professional,"592, Station Road, Swargate, Pune",Pune,Pune,Maharashtra,411037,rgore307@example.test,Complainant,2013-12-29,INTELLIGENCE_DB,0.93,2015-10-08T16:16:00,2017-06-12T04:20:00
P004683,Mayur Kadam,,Male,1994-07-12,32,Indian,Private Employee,"996, Canal Road, Kondhwa, Pune",Pune,Pune,Maharashtra,411048,mayur.kadam@example.test,Victim,2017-05-31,CASE_DB,0.894,2026-01-02T20:25:00,2026-02-05T23:34:00
P002404,Neha S Kale,,Female,1988-11-22,37,Indian,Private Employee,"489, Nagar Road, Chinchwad, Pune",Pune,Pune,Maharashtra,411033,nehakale@example.test,Witness,2025-06-26,IDENTITY_DB,0.922,2025-06-28T11:22:00,2025-12-26T19:00:00
P000113,Bhavana Dhumal,,Female,1964-01-26,62,Indian,Retired,"120, Main Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,bhavana.dhumal530@example.test,Witness,2021-03-11,CASE_DB,0.894,2024-07-11T06:03:00,2025-04-10T14:18:00
P000646,Harsh Dilip Jadhav,,Male,1982-02-01,44,Indian,Private Employee,"524, Market Road, Kondhwa, Pune",Pune,Pune,Maharashtra,411048,,Witness,2022-08-22,LEGACY_DB,0.774,2026-04-05T16:04:00,2026-07-17T04:29:00
P003012,Pranav Chavan,,Male,1997-04-15,29,Indian,Driver / Transport,"10, Station Road, Wakad, Pune",Pune,Pune,Maharashtra,411057,pranav.chavan@example.test,Person of Interest,2025-12-13,CASE_DB,0.894,2026-06-11T19:03:00,2026-06-22T13:10:00
P001081,Vidya K Chavan,,Female,2000-09-23,25,Indian,Government Employee,"389, Market Road, Hadapsar, Pune",Pune,Pune,Maharashtra,411028,vidyachavan@example.test,Complainant,2012-11-02,LEGACY_DB,0.824,2022-04-20T10:56:00,2026-06-04T15:56:00
P004967,Tejas Sharma,,Male,1998-01-13,28,Indian,Self Employed,"372, College Road, Katraj, Pune",Pune,Pune,Maharashtra,411046,tejas.sharma574@example.test,Witness,2018-06-22,COURT_RECORD,0.908,2024-02-23T20:59:00,2024-03-14T17:49:00
P000103,Sonali Pande,Sonali Kiran,Female,1981-03-21,45,Indian,Private Employee,"325, Canal Road, Viman Nagar, Pune",Pune,Pune,Maharashtra,411014,spande945@example.test,Victim,2014-11-26,CASE_DB,0.944,2017-08-05T05:21:00,2020-09-10T08:47:00
P001205,Tanvi Thakur,,Female,1973-10-09,52,Other,Private Employee,"111, Temple Road, Kothrud, Pune",Pune,Pune,Maharashtra,411038,tanvi.thakur@example.test,Complainant,2018-08-07,FIELD_REPORT,0.852,2022-03-07T12:37:00,2024-09-30T05:10:00
P002061,Pallavi R Joshi,,Female,1972-02-16,54,Indian,Self Employed,"726, Link Road, Pimpri, Pune",Pune,Pune,Maharashtra,411018,pallavijoshi@example.test,Complainant,2012-06-01,INTELLIGENCE_DB,0.88,2023-03-17T03:30:00,2024-01-30T13:52:00
