phone_id,phone_number,country_code,carrier,circle,activation_date,deactivation_date,phone_status,registered_person_id,source
PH000047,9993716602,+91,Carrier_D,Maharashtra,2016-05-19,2018-06-19,Inactive,P005753,SYNTH_TELECOM_DB
PH000048,9575542055,+91,Carrier_B,Maharashtra,2024-01-01,,Active,P001441,SYNTH_TELECOM_DB
PH000049,9399646363,+91,Carrier_A,Maharashtra,2013-03-22,,Active,P006484,SYNTH_LEGACY_DB
PH000050,9261680640,+91,Carrier_D,Maharashtra,2015-12-19,,Active,P006056,SYNTH_IDENTITY_DB
PH000051,9140898673,+91,Carrier_A,Maharashtra,2024-04-01,2024-07-19,Inactive,P002672,SYNTH_CDR_DB
PH000052,9541552643,+91,Carrier_A,Maharashtra,2015-05-09,2022-02-12,Inactive,P001544,SYNTH_LEGACY_DB
PH000053,9483467456,+91,Carrier_B,Maharashtra,2021-04-13,,Active,P003378,SYNTH_CDR_DB
PH000054,9592249548,+91,Carrier_E,Maharashtra,2014-03-20,2018-12-30,Inactive,P004098,SYNTH_TELECOM_DB
PH000055,9599877748,+91,Carrier_C,Maharashtra,2024-08-19,,Active,P004247,SYNTH_TELECOM_DB
PH000056,9845936150,+91,Carrier_A,Maharashtra,2014-05-10,,Active,P003375,SYNTH_TELECOM_DB
PH000057,9904598499,+91,Carrier_A,Maharashtra,2013-01-19,,Active,P000445,SYNTH_TELECOM_DB
PH000058,9607962571,+91,Carrier_C,Maharashtra,2025-05-31,,Active,P004632,SYNTH_CDR_DB
PH000059,9699779949,+91,Carrier_A,Maharashtra,2016-02-23,,Active,P005357,SYNTH_IDENTITY_DB
PH000060,9581193578,+91,Carrier_A,Maharashtra,2017-06-27,,Active,P003644,SYNTH_TELECOM_DB
PH000061,9648293858,+91,Carrier_A,Maharashtra,2015-01-11,,Active,P001906,SYNTH_TELECOM_DB
PH000062,9949325259,+91,Carrier_D,Maharashtra,2015-08-24,,Active,P005322,SYNTH_IDENTITY_DB
PH000063,9118980975,+91,Carrier_A,Maharashtra,2025-01-08,,Active,P004085,SYNTH_TELECOM_DB
PH000064,9812325277,+91,Carrier_C,Maharashtra,2017-08-29,,Active,P000612,SYNTH_IDENTITY_DB
PH000065,9196151114,+91,Carrier_D,Maharashtra,2021-06-17,,Active,P001743,SYNTH_TELECOM_DB
PH000066,9426344185,+91,Carrier_B,Maharashtra,2020-04-06,,Active,P004625,SYNTH_TELECOM_DB
PH000067,9277662643,+91,Carrier_B,Maharashtra,2024-08-25,,Active,P000991,SYNTH_IDENTITY_DB
PH000068,9610602296,+91,Carrier_B,Maharashtra,2016-06-03,,Active,P001133,SYNTH_IDENTITY_DB
PH000069,9544463367,+91,Carrier_B,Maharashtra,2016-10-26,,Active,P005732,SYNTH_LEGACY_DB
PH000070,9577173371,+91,Carrier_D,Maharashtra,2015-11-18,,Active,P000997,SYNTH_TELECOM_DB
PH000071,9625962537,+91,Carrier_A,Maharashtra,2024-04-09,,Active,P003957,SYNTH_CDR_DB
PH000072,9550599521,+91,Carrier_C,Maharashtra,2021-10-06,,Active,P000443,SYNTH_TELECOM_DB
PH000073,9347147430,+91,Carrier_E,Maharashtra,2019-09-05,2023-07-16,Inactive,P003501,SYNTH_LEGACY_DB
PH000074,9210262359,+91,Carrier_E,Maharashtra,2019-05-03,,Active,P004202,SYNTH_TELECOM_DB
PH000075,9507902384,+91,Carrier_B,Maharashtra,2015-08-15,,Active,P001373,SYNTH_IDENTITY_DB
PH000076,9696516054,+91,Carrier_B,Maharashtra,2015-03-18,2018-06-22,Inactive,P001446,SYNTH_TELECOM_DB
PH000077,9833259888,+91,Carrier_D,Maharashtra,2013-02-28,,Active,P001271,SYNTH_IDENTITY_DB
PH000078,9448142381,+91,Carrier_A,Maharashtra,2012-08-11,,Active,P002342,SYNTH_TELECOM_DB
PH000079,9736121842,+91,Carrier_C,Maharashtra,2016-05-23,,Active,P000108,SYNTH_TELECOM_DB
PH000080,9731242649,+91,Carrier_C,Maharashtra,2016-01-11,2022-03-12,Inactive,P004533,SYNTH_TELECOM_DB
PH000081,9267107016,+91,Carrier_A,Maharashtra,2026-05-20,2026-08-29,Reassigned,P004066,SYNTH_TELECOM_DB
PH000082,9912599323,+91,Carrier_C,Maharashtra,2025-10-02,,Active,P006705,SYNTH_TELECOM_DB
PH000083,9899579222,+91,Carrier_C,Maharashtra,2013-11-30,,Active,P005509,SYNTH_TELECOM_DB
PH000084,9450562467,+91,Carrier_C,Maharashtra,2024-06-06,,Active,P002554,SYNTH_IDENTITY_DB
PH000085,9279642584,+91,Carrier_A,Maharashtra,2020-07-08,2026-08-29,Inactive,P004274,SYNTH_TELECOM_DB
PH000086,9993084153,+91,Carrier_B,Maharashtra,2013-09-19,,Active,P003715,SYNTH_TELECOM_DB
PH000087,9285605246,+91,Carrier_B,Maharashtra,2025-05-17,,Active,P000400,SYNTH_IDENTITY_DB
PH000088,9957821748,+91,Carrier_D,Maharashtra,2015-03-07,2021-04-02,Inactive,P004731,SYNTH_LEGACY_DB
PH000089,9150906936,+91,Carrier_B,Maharashtra,2010-04-21,,Active,P006184,SYNTH_TELECOM_DB
PH000090,9448308147,+91,Carrier_A,Maharashtra,2012-09-17,,Active,P000715,SYNTH_IDENTITY_DB
PH000091,9740899775,+91,Carrier_B,Maharashtra,2022-04-02,,Active,P000546,SYNTH_LEGACY_DB
PH000092,9330112831,+91,Carrier_A,Maharashtra,2010-05-24,2012-12-26,Suspended,P003504,SYNTH_CDR_DB
PH000093,9580440676,+91,Carrier_B,Maharashtra,2025-12-31,,Active,P000337,SYNTH_TELECOM_DB
PH000094,9448470279,+91,Carrier_B,Maharashtra,2014-12-28,,Active,P005362,SYNTH_CDR_DB
PH000095,9490838400,+91,Carrier_A,Maharashtra,2025-06-13,,Active,P002410,SYNTH_TELECOM_DB
PH000096,9609631462,+91,Carrier_C,Maharashtra,2024-12-31,,Active,P003315,SYNTH_CDR_DB
PH000097,9307368853,+91,Carrier_B,Maharashtra,2015-02-28,2015-07-31,Suspended,P004704,SYNTH_TELECOM_DB
PH000098,9834930869,+91,Carrier_E,Maharashtra,2018-08-31,,Active,P002048,SYNTH_TELECOM_DB
PH000099,9604134641,+91,Carrier_B,Maharashtra,2022-01-10,,Active,P006738,SYNTH_TELECOM_DB
PH000100,9581628703,+91,Carrier_A,Maharashtra,2026-02-15,2026-08-29,Inactive,P001944,SYNTH_CDR_DB
PH000101,9863902652,+91,Carrier_B,Maharashtra,2015-10-05,2016-12-28,Inactive,P006755,SYNTH_LEGACY_DB
PH000102,9861845565,+91,Carrier_C,Maharashtra,2019-02-09,2019-09-10,Inactive,P006055,SYNTH_TELECOM_DB
PH000103,9987342678,+91,Carrier_B,Maharashtra,2010-06-14,,Active,P006993,SYNTH_TELECOM_DB
PH000104,9344474647,+91,Carrier_A,Maharashtra,2023-02-26,,Active,P006756,SYNTH_TELECOM_DB
PH000105,9272373557,+91,Carrier_A,Maharashtra,2015-01-06,2020-01-13,Reassigned,P004241,SYNTH_LEGACY_DB
PH000106,9720058460,+91,Carrier_D,Maharashtra,2020-01-07,,Active,P006462,SYNTH_TELECOM_DB
PH000107,9482292284,+91,Carrier_B,Maharashtra,2020-05-04,,Active,P001775,SYNTH_IDENTITY_DB
PH000108,9144778544,+91,Carrier_A,Maharashtra,2020-10-01,,Active,P004308,SYNTH_TELECOM_DB
PH000109,9380190187,+91,Carrier_B,Maharashtra,2018-08-17,,Active,P002669,SYNTH_IDENTITY_DB
PH000110,9857485933,+91,Carrier_A,Maharashtra,2020-02-19,,Active,P001740,SYNTH_CDR_DB
PH000111,9277459773,+91,Carrier_B,Maharashtra,2019-03-05,,Active,P006303,SYNTH_LEGACY_DB
PH000112,9999198696,+91,Carrier_C,Maharashtra,2013-08-13,2020-04-26,Inactive,P002168,SYNTH_TELECOM_DB
PH000113,9763463632,+91,Carrier_B,Maharashtra,2011-11-16,,Active,P006969,SYNTH_IDENTITY_DB
PH000114,9309896754,+91,Carrier_A,Maharashtra,2022-10-19,,Active,P000416,SYNTH_IDENTITY_DB
PH000115,9158493311,+91,Carrier_A,Maharashtra,2011-06-29,,Active,P006597,SYNTH_IDENTITY_DB
PH000116,9333181771,+91,Carrier_E,Maharashtra,2012-04-21,,Active,P003613,SYNTH_LEGACY_DB
PH000117,9336967501,+91,Carrier_A,Maharashtra,2021-10-04,2022-06-12,Inactive,P003743,SYNTH_TELECOM_DB
PH000118,9298599904,+91,Carrier_C,Maharashtra,2019-03-15,,Active,P005048,SYNTH_TELECOM_DB
PH000119,9422409281,+91,Carrier_D,Maharashtra,2016-01-28,2017-12-20,Inactive,P003274,SYNTH_CDR_DB
PH000120,9857680480,+91,Carrier_C,Maharashtra,2019-03-29,,Active,P006866,SYNTH_LEGACY_DB
PH000121,9462623915,+91,Carrier_A,Maharashtra,2021-09-07,,Active,P003824,SYNTH_CDR_DB
PH000122,9431392935,+91,Carrier_A,Maharashtra,2014-04-07,,Active,P004229,SYNTH_IDENTITY_DB
PH000123,9918263020,+91,Carrier_C,Maharashtra,2018-05-13,,Active,P001989,SYNTH_TELECOM_DB
PH000124,9117338790,+91,Carrier_B,Maharashtra,2012-11-16,2017-11-14,Inactive,P005639,SYNTH_TELECOM_DB
PH000125,9710524530,+91,Carrier_D,Maharashtra,2010-07-28,2011-10-17,Suspended,P000506,SYNTH_TELECOM_DB
PH000126,9321811469,+91,Carrier_A,Maharashtra,2021-01-24,,Active,P002580,SYNTH_CDR_DB
PH000127,9554262031,+91,Carrier_B,Maharashtra,2010-01-15,,Active,P006845,SYNTH_TELECOM_DB
PH000128,9942692469,+91,Carrier_A,Maharashtra,2015-02-05,2015-12-06,Inactive,P005517,SYNTH_TELECOM_DB
PH000129,9839264143,+91,Carrier_B,Maharashtra,2021-04-15,,Active,P003034,SYNTH_IDENTITY_DB
PH000130,9627685320,+91,Carrier_C,Maharashtra,2016-06-10,,Active,P003218,SYNTH_TELECOM_DB
PH000131,9332627723,+91,Carrier_C,Maharashtra,2011-02-04,,Active,P006768,SYNTH_TELECOM_DB
PH000132,9328994826,+91,Carrier_A,Maharashtra,2018-04-12,,Active,P006419,SYNTH_TELECOM_DB
PH000133,9802988789,+91,Carrier_B,Maharashtra,2026-04-11,,Active,P001324,SYNTH_TELECOM_DB
PH000134,9285621059,+91,Carrier_B,Maharashtra,2018-05-02,2019-11-10,Suspended,P005689,SYNTH_LEGACY_DB
PH000135,9423764169,+91,Carrier_A,Maharashtra,2023-09-11,,Active,P004130,SYNTH_TELECOM_DB
PH000136,9369972443,+91,Carrier_C,Maharashtra,2023-10-30,,Active,P001395,SYNTH_TELECOM_DB
PH000137,9356488380,+91,Carrier_A,Maharashtra,2026-01-25,,Active,P004646,SYNTH_TELECOM_DB
PH000138,9954781850,+91,Carrier_B,Maharashtra,2011-02-03,,Active,P005965,SYNTH_CDR_DB
PH000139,9283470646,+91,Carrier_C,Maharashtra,2014-09-19,2020-04-25,Inactive,P003274,SYNTH_TELECOM_DB
PH000140,9180778823,+91,Carrier_B,Maharashtra,2013-04-09,,Active,P004506,SYNTH_TELECOM_DB
PH000141,9238803477,+91,Carrier_A,Maharashtra,2020-09-25,,Active,P003712,SYNTH_TELECOM_DB
PH000142,9601967355,+91,Carrier_C,Maharashtra,2017-04-17,,Active,P005897,SYNTH_TELECOM_DB
PH000143,9432072332,+91,Carrier_A,Maharashtra,2019-05-01,,Active,P006743,SYNTH_IDENTITY_DB
PH000144,9215336864,+91,Carrier_B,Maharashtra,2015-01-22,,Active,P002010,SYNTH_TELECOM_DB
PH000145,9158946135,+91,Carrier_C,Maharashtra,2024-03-28,,Active,P005312,SYNTH_TELECOM_DB
PH000146,9938091180,+91,Carrier_C,Maharashtra,2018-03-27,2024-08-07,Reassigned,P003145,SYNTH_TELECOM_DB
PH000147,9557361819,+91,Carrier_A,Maharashtra,2013-12-08,,Active,P005395,SYNTH_IDENTITY_DB
PH000148,9759156833,+91,Carrier_B,Maharashtra,2016-12-29,,Active,P000471,SYNTH_TELECOM_DB
PH000149,9722190109,+91,Carrier_B,Maharashtra,2020-10-18,,Active,P001144,SYNTH_CDR_DB
PH000150,9899182279,+91,Carrier_B,Maharashtra,2019-09-21,,Active,P005771,SYNTH_TELECOM_DB
PH000151,9237461766,+91,Carrier_A,Maharashtra,2021-05-26,,Active,P005604,SYNTH_TELECOM_DB
PH000152,9808044501,+91,Carrier_C,Maharashtra,2010-03-23,,Active,P003613,SYNTH_TELECOM_DB
PH000153,9343550495,+91,Carrier_A,Maharashtra,2020-09-12,2026-08-29,Inactive,P005828,SYNTH_IDENTITY_DB
PH000154,9645135905,+91,Carrier_B,Maharashtra,2014-12-20,,Active,P004145,SYNTH_TELECOM_DB
PH000155,9328932213,+91,Carrier_A,Maharashtra,2020-09-03,2025-05-20,Inactive,P003341,SYNTH_TELECOM_DB
PH000156,9118099194,+91,Carrier_B,Maharashtra,2011-06-09,2012-04-12,Inactive,P004522,SYNTH_LEGACY_DB
PH000157,9653156859,+91,Carrier_A,Maharashtra,2011-04-07,,Active,P002666,SYNTH_TELECOM_DB
PH000158,9127182734,+91,Carrier_B,Maharashtra,2021-04-29,2023-02-09,Suspended,P006786,SYNTH_IDENTITY_DB
PH000159,9635983283,+91,Carrier_B,Maharashtra,2021-11-27,,Active,P006412,SYNTH_CDR_DB
PH000160,9158099615,+91,Carrier_A,Maharashtra,2023-01-20,,Active,P002711,SYNTH_LEGACY_DB
PH000161,9234982162,+91,Carrier_C,Maharashtra,2012-10-17,2015-07-01,Inactive,P003920,SYNTH_TELECOM_DB
PH000162,9532985601,+91,Carrier_C,Maharashtra,2019-11-22,2024-03-07,Inactive,P003976,SYNTH_TELECOM_DB
PH000163,9773318855,+91,Carrier_A,Maharashtra,2015-06-07,,Active,P000337,SYNTH_LEGACY_DB
PH000164,9771668568,+91,Carrier_E,Maharashtra,2024-11-13,,Active,P001246,SYNTH_IDENTITY_DB
PH000165,9895523682,+91,Carrier_B,Maharashtra,2016-07-03,2020-03-30,Inactive,P001667,SYNTH_TELECOM_DB
PH000166,9610475731,+91,Carrier_B,Maharashtra,2022-11-25,,Active,P003316,SYNTH_CDR_DB
PH000167,9591789305,+91,Carrier_C,Maharashtra,2025-08-15,,Active,P000801,SYNTH_CDR_DB
PH000168,9343215831,+91,Carrier_A,Maharashtra,2022-09-19,,Active,P006094,SYNTH_CDR_DB
PH000169,9223352123,+91,Carrier_A,Maharashtra,2010-02-13,,Active,P005120,SYNTH_LEGACY_DB
PH000170,9978297238,+91,Carrier_B,Maharashtra,2014-12-07,,Active,P000017,SYNTH_CDR_DB
PH000171,9392497855,+91,Carrier_D,Maharashtra,2020-09-06,,Active,P002004,SYNTH_TELECOM_DB
PH000172,9911378477,+91,Carrier_C,Maharashtra,2010-11-15,,Active,P001467,SYNTH_TELECOM_DB
PH000173,9936867169,+91,Carrier_E,Maharashtra,2015-07-17,,Active,P000078,SYNTH_IDENTITY_DB
PH000174,9473625454,+91,Carrier_A,Maharashtra,2016-01-22,,Active,P002687,SYNTH_TELECOM_DB
PH000175,9616928045,+91,Carrier_B,Maharashtra,2011-10-11,2013-02-16,Suspended,P000165,SYNTH_LEGACY_DB
PH000176,9546550209,+91,Carrier_B,Maharashtra,2016-11-03,,Active,P004349,SYNTH_TELECOM_DB
PH000177,9125625948,+91,Carrier_A,Maharashtra,2016-10-20,2022-07-12,Inactive,P005244,SYNTH_TELECOM_DB
PH000178,9660711351,+91,Carrier_C,Maharashtra,2017-06-14,,Active,P006735,SYNTH_IDENTITY_DB
PH000179,9963908399,+91,Carrier_A,Maharashtra,2024-11-01,,Active,P002118,SYNTH_IDENTITY_DB
PH000180,9737054932,+91,Carrier_A,Maharashtra,2014-03-29,,Active,P001764,SYNTH_TELECOM_DB
PH000181,9343861535,+91,Carrier_B,Maharashtra,2017-05-01,2021-05-27,Reassigned,P002200,SYNTH_CDR_DB
PH000182,9418222881,+91,Carrier_E,Maharashtra,2026-06-30,,Active,P004387,SYNTH_IDENTITY_DB
PH000183,9649404020,+91,Carrier_B,Maharashtra,2023-03-29,,Active,P003573,SYNTH_TELECOM_DB
PH000184,9385296101,+91,Carrier_E,Maharashtra,2025-05-29,,Active,P003230,SYNTH_TELECOM_DB
PH000185,9305158877,+91,Carrier_A,Maharashtra,2019-01-26,2025-04-09,Inactive,P003333,SYNTH_IDENTITY_DB
PH000186,9570514086,+91,Carrier_A,Maharashtra,2010-09-18,2014-10-06,Inactive,P000609,SYNTH_TELECOM_DB
PH000187,9208352960,+91,Carrier_C,Maharashtra,2018-04-18,,Active,P001314,SYNTH_TELECOM_DB
PH000188,9320031267,+91,Carrier_A,Maharashtra,2010-07-04,,Active,P000312,SYNTH_LEGACY_DB
PH000189,9638150392,+91,Carrier_D,Maharashtra,2018-06-14,,Active,P006470,SYNTH_TELECOM_DB
PH000190,9590543368,+91,Carrier_A,Maharashtra,2012-05-28,,Active,P000780,SYNTH_TELECOM_DB
PH000191,9356453530,+91,Carrier_C,Maharashtra,2021-05-12,2022-05-08,Suspended,P001566,SYNTH_TELECOM_DB
PH000192,9334736810,+91,Carrier_A,Maharashtra,2012-06-07,,Active,P004434,SYNTH_IDENTITY_DB
PH000193,9435354485,+91,Carrier_B,Maharashtra,2012-01-29,,Active,P004061,SYNTH_TELECOM_DB
PH000194,9895700721,+91,Carrier_E,Maharashtra,2011-04-01,,Active,P004216,SYNTH_CDR_DB
PH000195,9918890775,+91,Carrier_A,Maharashtra,2018-03-02,2023-11-17,Inactive,P005686,SYNTH_IDENTITY_DB
PH000196,9792060354,+91,Carrier_A,Maharashtra,2017-07-08,,Active,P006196,SYNTH_TELECOM_DB
PH000197,9425583938,+91,Carrier_E,Maharashtra,2012-06-29,,Active,P001589,SYNTH_LEGACY_DB
PH000198,9307709788,+91,Carrier_B,Maharashtra,2019-11-27,2020-12-22,Inactive,P005527,SYNTH_TELECOM_DB
PH000199,9879635241,+91,Carrier_A,Maharashtra,2018-05-11,,Active,P004132,SYNTH_TELECOM_DB
PH000200,9720891781,+91,Carrier_A,Maharashtra,2010-10-29,2016-07-11,Inactive,P002505,SYNTH_CDR_DB
PH000201,9252346726,+91,Carrier_A,Maharashtra,2025-11-07,2025-12-11,Suspended,P002843,SYNTH_TELECOM_DB
PH000202,9568189276,+91,Carrier_C,Maharashtra,2021-08-14,,Active,P004918,SYNTH_TELECOM_DB
PH000203,9817374486,+91,Carrier_A,Maharashtra,2013-09-18,,Active,P005085,SYNTH_TELECOM_DB
PH000204,9283023098,+91,Carrier_B,Maharashtra,2011-09-12,,Active,P002456,SYNTH_TELECOM_DB
PH000205,9362332234,+91,Carrier_A,Maharashtra,2024-04-10,2025-08-24,Reassigned,P004639,SYNTH_TELECOM_DB
PH000206,9386177861,+91,Carrier_A,Maharashtra,2018-10-01,,Active,P000228,SYNTH_TELECOM_DB
PH000207,9491754800,+91,Carrier_B,Maharashtra,2014-09-12,,Active,P000356,SYNTH_TELECOM_DB
PH000208,9206360020,+91,Carrier_A,Maharashtra,2021-06-13,,Active,P002698,SYNTH_TELECOM_DB
PH000209,9725166419,+91,Carrier_B,Maharashtra,2021-04-26,,Active,P001479,SYNTH_CDR_DB
PH000210,9553092467,+91,Carrier_C,Maharashtra,2013-04-22,2016-08-17,Inactive,P002577,SYNTH_TELECOM_DB
PH000211,9649335445,+91,Carrier_A,Maharashtra,2026-07-23,,Active,P002776,SYNTH_TELECOM_DB
PH000212,9921331040,+91,Carrier_A,Maharashtra,2024-10-14,2026-08-29,Inactive,P004139,SYNTH_TELECOM_DB
PH000213,9441460625,+91,Carrier_C,Maharashtra,2016-12-13,,Active,P006853,SYNTH_CDR_DB
PH000214,9386206406,+91,Carrier_A,Maharashtra,2010-10-27,2014-02-23,Inactive,P000137,SYNTH_LEGACY_DB
PH000215,9872408527,+91,Carrier_A,Maharashtra,2011-04-05,,Active,P004017,SYNTH_TELECOM_DB
PH000216,9911445930,+91,Carrier_A,Maharashtra,2010-09-01,,Active,P006296,SYNTH_TELECOM_DB
PH000217,9843717355,+91,Carrier_C,Maharashtra,2016-07-31,2018-09-03,Reassigned,P000732,SYNTH_TELECOM_DB
PH000218,9365983514,+91,Carrier_A,Maharashtra,2020-07-14,,Active,P005768,SYNTH_CDR_DB
PH000219,9252284479,+91,Carrier_B,Maharashtra,2011-07-01,,Active,P005025,SYNTH_CDR_DB
PH000220,9190833297,+91,Carrier_B,Maharashtra,2017-10-29,,Active,P002479,SYNTH_TELECOM_DB
PH000221,9533364976,+91,Carrier_C,Maharashtra,2016-05-24,,Active,P006499,SYNTH_TELECOM_DB
PH000222,9828947326,+91,Carrier_B,Maharashtra,2020-08-18,,Active,P003067,SYNTH_IDENTITY_DB
PH000223,9157971250,+91,Carrier_A,Maharashtra,2010-09-26,,Active,P000843,SYNTH_TELECOM_DB
PH000224,9981426996,+91,Carrier_B,Maharashtra,2024-07-30,,Active,P005558,SYNTH_CDR_DB
PH000225,9126083433,+91,Carrier_A,Maharashtra,2017-04-13,,Active,P006792,SYNTH_CDR_DB
PH000226,9902836001,+91,Carrier_A,Maharashtra,2014-02-18,,Active,P002263,SYNTH_CDR_DB
PH000227,9354573714,+91,Carrier_C,Maharashtra,2010-06-05,,Active,P006910,SYNTH_TELECOM_DB
PH000228,9462732828,+91,Carrier_C,Maharashtra,2021-06-16,,Active,P002779,SYNTH_CDR_DB
PH000229,9918496252,+91,Carrier_A,Maharashtra,2026-05-02,,Active,P005623,SYNTH_TELECOM_DB
PH000230,9109181371,+91,Carrier_B,Maharashtra,2020-10-21,,Active,P003396,SYNTH_IDENTITY_DB
PH000231,9424491770,+91,Carrier_B,Maharashtra,2020-06-22,,Active,P003806,SYNTH_LEGACY_DB
PH000232,9787082681,+91,Carrier_D,Maharashtra,2017-03-07,2020-06-15,Reassigned,P000910,SYNTH_CDR_DB
PH000233,9764554255,+91,Carrier_A,Maharashtra,2021-07-05,2021-12-23,Suspended,P002739,SYNTH_TELECOM_DB
PH000234,9861499549,+91,Carrier_A,Maharashtra,2011-06-09,,Active,P006905,SYNTH_TELECOM_DB
PH000235,9443620794,+91,Carrier_D,Maharashtra,2021-01-19,,Active,P003004,SYNTH_CDR_DB
PH000236,9300894720,+91,Carrier_C,Maharashtra,2010-01-12,,Active,P006581,SYNTH_CDR_DB
