document_id,case_id,document_type,document_date,language,narrative_text,source_officer,document_status,text_quality
DOC000011,C000011,Statement,2020-12-26,English,"On 15 December 2020 at approximately 17:12 hrs, Neha M Pande was reported in connection with a voluntarily causing hurt incident in the Yerawada area, Pune. Swapnil J. was identified as another person relevant to the inquiry. The record notes vehicle MH15OC5489 and contact number 9718638262 in connection with the reported events. The matter was registered on 18 December 2020 under IPC 323 and assigned to investigating officer IO0193.",IO0193,Reviewed,0.945
DOC000012,C000012,FIR,2019-05-27,English,"On 22 April 2019 at approximately 06:30 hrs, Nikhil Bhosale was reported in connection with a theft in dwelling house incident in the Yerawada area, Pune. Aanya D Sawant was identified as another person relevant to the inquiry. The record notes vehicle MH42CQ5451 and contact number 9542855521 in connection with the reported events. The matter was registered on 27 April 2019 under IPC 380 and assigned to investigating officer IO0140.",IO0140,Final,0.985
DOC000013,C000013,Case Summary,2021-10-27,English,"On 23 October 2021 at approximately 13:46 hrs, Nikhil Sharma was reported in connection with a theft of property incident in the Kothrud area, Pune. S. Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH12KK9135 and contact number 9256203680 in connection with the reported events. The matter was registered on 25 October 2021 under IPC 379 and assigned to investigating officer IO0247.",IO0247,Final,0.964
DOC000014,C000014,Case Summary,2024-03-26,English,"On 25 February 2024 at approximately 22:40 hrs, Aanya Deshmukh was reported in connection with a possession-related offence incident in the Yerawada area, Pune. Abhishek Naik was identified as another person relevant to the inquiry. The record notes vehicle MH42HH3561 and contact number 9842492156 in connection with the reported events. The matter was registered on 03 March 2024 under IPC 272/273 and assigned to investigating officer IO0079.",IO0079,Final,0.921
DOC000015,C000015,FIR,2019-01-14,English,"On 28 December 2018 at approximately 05:10 hrs, Mahi Chavan was reported in connection with a grievous hurt incident in the Shivajinagar area, Pune. Mrunal Anil Dhumal was identified as another person relevant to the inquiry. The record notes vehicle MH14FG9906 and contact number 9116800720 in connection with the reported events. The matter was registered on 11 January 2019 under IPC 325 and assigned to investigating officer IO0249.",IO0249,Reviewed,0.924
DOC000016,C000016,FIR,2021-11-18,English,"On 01 November 2021 at approximately 19:44 hrs, Dhruv D. was reported in connection with a robbery with preparation for hurt incident in the Shivajinagar area, Pune. Ananya Mane was identified as another person relevant to the inquiry. The record notes vehicle MH14IU3649 and contact number 9828927174 in connection with the reported events. The matter was registered on 08 November 2021 under IPC 393 and assigned to investigating officer IO0230.",IO0230,Archived,0.988
DOC000017,C000017,FIR,2020-09-13,English,"On 27 August 2020 at approximately 04:11 hrs, Dhruv Pande was reported in connection with a cheating by personation / cyber fraud incident in the Kothrud area, Pune. Sneha Joshi was identified as another person relevant to the inquiry. The record notes vehicle MH12ZG2919 and contact number 9309191034 in connection with the reported events. The matter was registered on 08 September 2020 under IPC 419/420 and assigned to investigating officer IO0156.",IO0156,Reviewed,0.98
DOC000018,C000018,FIR,2019-08-29,English,"On 28 July 2019 at approximately 12:33 hrs, Tejas S Kulkarni was reported in connection with a theft of property incident in the Pimpri area, Pune. Tanu Prakash Desai was identified as another person relevant to the inquiry. The record notes vehicle MH15ML5067 and contact number 9728483167 in connection with the reported events. The matter was registered on 30 July 2019 under IPC 379 and assigned to investigating officer IO0096.",IO0096,Final,0.948
DOC000019,C000019,Investigation Note,2023-10-27,English,"On 13 October 2023 at approximately 18:25 hrs, Simran Prakash Dhumal was reported in connection with a using forged document incident in the Bhosari area, Pune. Rohit Ramesh Naik was identified as another person relevant to the inquiry. The record notes vehicle MH42FJ8382 and contact number 9623509703 in connection with the reported events. The matter was registered on 18 October 2023 under IPC 471 and assigned to investigating officer IO0027.",IO0027,Reviewed,0.981
DOC000020,C000020,Investigation Note,2024-05-05,English,"On 20 April 2024 at approximately 07:46 hrs, Sonali Raj Sutar was reported in connection with a grievous hurt incident in the Baner area, Pune. Akash Chavan was identified as another person relevant to the inquiry. The record notes vehicle MH42OD5564 and contact number 9726850190 in connection with the reported events. The matter was registered on 27 April 2024 under IPC 325 and assigned to investigating officer IO0106.",IO0106,Final,0.965
DOC000021,C000021,Case Summary,2024-02-13,English,"On 06 February 2024 at approximately 21:53 hrs, Tejas Shinde was reported in connection with a criminal intimidation incident in the Chinchwad area, Pune. Mrunal Mahesh Patil was identified as another person relevant to the inquiry. The record notes vehicle MH12LH7956 and contact number 9561053729 in connection with the reported events. The matter was registered on 12 February 2024 under IPC 506 and assigned to investigating officer IO0165.",IO0165,Reviewed,0.969
DOC000022,C000022,Statement,2021-09-30,English,"On 24 August 2021 at approximately 09:13 hrs, Pallavi Joshi was reported in connection with a house-breaking / house-trespass incident in the Aundh area, Pune. Vaishnavi Mane was identified as another person relevant to the inquiry. The record notes vehicle MH14ZR5943 and contact number 9120876371 in connection with the reported events. The matter was registered on 06 September 2021 under IPC 454 and assigned to investigating officer IO0126.",IO0126,Reviewed,0.943
DOC000023,C000023,FIR,2019-04-21,English,"On 31 March 2019 at approximately 09:17 hrs, Sakshi Sawant was reported in connection with a theft of property incident in the Aundh area, Pune. Anjali Sawant was identified as another person relevant to the inquiry. The record notes vehicle MH42AS1780 and contact number 9413854642 in connection with the reported events. The matter was registered on 01 April 2019 under IPC 379 and assigned to investigating officer IO0204.",IO0204,Reviewed,0.978
DOC000024,C000024,FIR,2021-08-24,English,"On 08 August 2021 at approximately 16:13 hrs, Swapnil Mahesh Bhosale was reported in connection with a theft in dwelling house incident in the Shivajinagar area, Pune. Kajal P Dhumal was identified as another person relevant to the inquiry. The record notes vehicle MH14BZ8819 and contact number 9152113835 in connection with the reported events. The matter was registered on 15 August 2021 under IPC 380 and assigned to investigating officer IO0227.",IO0227,Final,0.938
DOC000025,C000025,Investigation Note,2018-04-04,English,"On 10 March 2018 at approximately 13:29 hrs, Atharva D Bhosale was reported in connection with a possession-related offence incident in the Kothrud area, Pune. Sakshi Patil was identified as another person relevant to the inquiry. The record notes vehicle MH12LC1860 and contact number 9158621616 in connection with the reported events. The matter was registered on 18 March 2018 under IPC 272/273 and assigned to investigating officer IO0054.",IO0054,Reviewed,0.978
DOC000026,C000026,FIR,2023-09-05,English,"On 22 August 2023 at approximately 06:00 hrs, M. Pande was reported in connection with a cheating by personation / cyber fraud incident in the Kothrud area, Pune. Aanya Salunkhe was identified as another person relevant to the inquiry. The record notes vehicle MH15OH9737 and contact number 9623202463 in connection with the reported events. The matter was registered on 04 September 2023 under IPC 419/420 and assigned to investigating officer IO0268.",IO0268,Draft,0.971
DOC000027,C000027,FIR,2022-11-19,English,"On 07 November 2022 at approximately 23:22 hrs, Aniket Gore was reported in connection with a theft of property incident in the Hadapsar area, Pune. Tejas Dilip Gaikwad was identified as another person relevant to the inquiry. The record notes vehicle MH14UT8111 and contact number 9699719847 in connection with the reported events. The matter was registered on 07 November 2022 under IPC 379 and assigned to investigating officer IO0297.",IO0297,Reviewed,0.956
DOC000028,C000028,FIR,2024-02-09,English,"On 03 February 2024 at approximately 20:34 hrs, Nikhil Gore was reported in connection with a criminal intimidation incident in the Yerawada area, Pune. Rohit Sanjay Shinde was identified as another person relevant to the inquiry. The record notes vehicle MH42DU9603 and contact number 9930670313 in connection with the reported events. The matter was registered on 03 February 2024 under IPC 506 and assigned to investigating officer IO0153.",IO0153,Archived,0.94
DOC000029,C000029,FIR,2019-06-16,English,"On 27 May 2019 at approximately 15:26 hrs, Kunal Kiran Deshmukh was reported in connection with a robbery with preparation for hurt incident in the Kothrud area, Pune. R. Joshi was identified as another person relevant to the inquiry. The record notes vehicle MH12TQ7252 and contact number 9847393939 in connection with the reported events. The matter was registered on 06 June 2019 under IPC 393 and assigned to investigating officer IO0170.",IO0170,Draft,0.969
DOC000030,C000030,FIR,2019-04-15,English,"On 26 March 2019 at approximately 18:46 hrs, Tanvi Naik was reported in connection with a robbery incident in the Kondhwa area, Pune. Madhura Sutar was identified as another person relevant to the inquiry. The record notes vehicle MH12MH4222 and contact number 9306696085 in connection with the reported events. The matter was registered on 02 April 2019 under IPC 392 and assigned to investigating officer IO0137.",IO0137,Reviewed,0.981
DOC000031,C000031,Investigation Note,2021-07-23,English,"On 13 July 2021 at approximately 14:16 hrs, S. Salunkhe was reported in connection with a cheating incident in the Viman Nagar area, Pune. Mrunal Chavan was identified as another person relevant to the inquiry. The record notes vehicle MH42UR9807 and contact number 9379524097 in connection with the reported events. The matter was registered on 18 July 2021 under IPC 420 and assigned to investigating officer IO0339.",IO0339,Final,0.954
DOC000032,C000032,FIR,2018-06-08,English,"On 25 May 2018 at approximately 08:38 hrs, Aarav Patil was reported in connection with a cheating by personation / cyber fraud incident in the Baner area, Pune. Aniket Kumar Gore was identified as another person relevant to the inquiry. The record notes vehicle MH15JH5724 and contact number 9709246112 in connection with the reported events. The matter was registered on 25 May 2018 under IPC 419/420 and assigned to investigating officer IO0263.",IO0263,Final,0.933
DOC000033,C000033,FIR,2021-02-12,English,"On 12 January 2021 at approximately 21:03 hrs, Yash M Pande was reported in connection with a voluntarily causing hurt incident in the Kothrud area, Pune. Simran Kulkarni was identified as another person relevant to the inquiry. The record notes vehicle MH14KF5502 and contact number 9108093709 in connection with the reported events. The matter was registered on 26 January 2021 under IPC 323 and assigned to investigating officer IO0158.",IO0158,Archived,0.959
DOC000034,C000034,FIR,2019-06-01,English,"On 07 May 2019 at approximately 10:36 hrs, Nikhil N. was reported in connection with a using forged document incident in the Chinchwad area, Pune. Akash Desai was identified as another person relevant to the inquiry. The record notes vehicle MH14WR4311 and contact number 9620958689 in connection with the reported events. The matter was registered on 14 May 2019 under IPC 471 and assigned to investigating officer IO0226.",IO0226,Archived,0.948
DOC000035,C000035,Investigation Note,2019-11-17,English,"On 15 November 2019 at approximately 23:23 hrs, Akash Naik was reported in connection with a theft of property incident in the Shivajinagar area, Pune. Nikita Sharma was identified as another person relevant to the inquiry. The record notes vehicle MH15QB7102 and contact number 9393290216 in connection with the reported events. The matter was registered on 16 November 2019 under IPC 379 and assigned to investigating officer IO0316.",IO0316,Archived,0.958
DOC000036,C000036,Investigation Note,2023-06-03,English,"On 25 May 2023 at approximately 08:29 hrs, Madhura R Joshi was reported in connection with a cheating by personation / cyber fraud incident in the Aundh area, Pune. Ananya M Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH42RU9174 and contact number 9476364906 in connection with the reported events. The matter was registered on 03 June 2023 under IPC 419/420 and assigned to investigating officer IO0305.",IO0305,Final,0.971
DOC000037,C000037,Statement,2024-06-21,English,"On 08 May 2024 at approximately 21:21 hrs, Sahil Dilip Pande was reported in connection with a possession-related offence incident in the Katraj area, Pune. Manish M Shinde was identified as another person relevant to the inquiry. The record notes vehicle MH15RC1000 and contact number 9436546460 in connection with the reported events. The matter was registered on 22 May 2024 under IPC 272/273 and assigned to investigating officer IO0048.",IO0048,Final,0.933
DOC000038,C000038,FIR,2018-03-12,English,"On 23 February 2018 at approximately 21:14 hrs, Pranav Mane was reported in connection with a rioting incident in the Aundh area, Pune. Gaurav Deshmukh was identified as another person relevant to the inquiry. The record notes vehicle MH14JA1534 and contact number 9976359578 in connection with the reported events. The matter was registered on 01 March 2018 under IPC 147 and assigned to investigating officer IO0323.",IO0323,Final,0.95
DOC000039,C000039,FIR,2018-12-26,English,"On 10 December 2018 at approximately 23:13 hrs, Nikita A Bhosale was reported in connection with a criminal breach of trust incident in the Vishrantwadi area, Pune. Anjali Chavan was identified as another person relevant to the inquiry. The record notes vehicle MH12NY4251 and contact number 9224273810 in connection with the reported events. The matter was registered on 14 December 2018 under IPC 406 and assigned to investigating officer IO0145.",IO0145,Reviewed,0.937
DOC000040,C000040,FIR,2024-06-12,English,"On 29 May 2024 at approximately 05:44 hrs, Yash Kulkarni was reported in connection with a forgery incident in the Bhosari area, Pune. Shiv Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH42YA3499 and contact number 9436254465 in connection with the reported events. The matter was registered on 03 June 2024 under IPC 465 and assigned to investigating officer IO0292.",IO0292,Draft,0.976
DOC000041,C000041,Investigation Note,2023-12-06,English,"On 23 November 2023 at approximately 19:31 hrs, Pallavi Sanjay Dhumal was reported in connection with a theft of property incident in the Swargate area, Pune. Manish Gore was identified as another person relevant to the inquiry. The record notes vehicle MH15AW9406 and contact number 9562157672 in connection with the reported events. The matter was registered on 26 November 2023 under IPC 379 and assigned to investigating officer IO0320.",IO0320,Final,0.952
DOC000042,C000042,Statement,2021-12-27,English,"On 16 December 2021 at approximately 13:36 hrs, Rahul R Gore was reported in connection with a criminal intimidation incident in the Shivajinagar area, Pune. Harsh D Kadam was identified as another person relevant to the inquiry. The record notes vehicle MH12QB3401 and contact number 9755781567 in connection with the reported events. The matter was registered on 26 December 2021 under IPC 506 and assigned to investigating officer IO0046.",IO0046,Draft,0.929
DOC000043,C000043,Statement,2018-08-07,English,"On 12 July 2018 at approximately 19:32 hrs, Riya R Sutar was reported in connection with a voluntarily causing hurt incident in the Kothrud area, Pune. Kajal Sawant was identified as another person relevant to the inquiry. The record notes vehicle MH42KB4247 and contact number 9647921776 in connection with the reported events. The matter was registered on 15 July 2018 under IPC 323 and assigned to investigating officer IO0045.",IO0045,Final,0.921
DOC000044,C000044,FIR,2023-02-19,English,"On 05 February 2023 at approximately 05:29 hrs, Sahil Wagh was reported in connection with a theft in dwelling house incident in the Baner area, Pune. Tanvi Wagh was identified as another person relevant to the inquiry. The record notes vehicle MH42LO9802 and contact number 9884836108 in connection with the reported events. The matter was registered on 08 February 2023 under IPC 380 and assigned to investigating officer IO0331.",IO0331,Archived,0.977
DOC000045,C000045,FIR,2021-03-23,English,"On 02 March 2021 at approximately 21:46 hrs, Bhavana Pande was reported in connection with a theft of property incident in the Viman Nagar area, Pune. Nikhil M Patil was identified as another person relevant to the inquiry. The record notes vehicle MH12BM4943 and contact number 9389505479 in connection with the reported events. The matter was registered on 10 March 2021 under IPC 379 and assigned to investigating officer IO0282.",IO0282,Reviewed,0.972
DOC000046,C000046,FIR,2024-01-06,English,"On 14 December 2023 at approximately 12:48 hrs, Komal Kiran Kale was reported in connection with a house-breaking / house-trespass incident in the Aundh area, Pune. Saurabh Desai was identified as another person relevant to the inquiry. The record notes vehicle MH12YO3492 and contact number 9492455820 in connection with the reported events. The matter was registered on 27 December 2023 under IPC 454 and assigned to investigating officer IO0237.",IO0237,Archived,0.971
DOC000047,C000047,FIR,2018-04-02,English,"On 27 February 2018 at approximately 08:02 hrs, Shruti Mane was reported in connection with a voluntarily causing hurt incident in the Dhankawadi area, Pune. Rohit Pande was identified as another person relevant to the inquiry. The record notes vehicle MH12VN5788 and contact number 9733108878 in connection with the reported events. The matter was registered on 08 March 2018 under IPC 323 and assigned to investigating officer IO0193.",IO0193,Draft,0.929
DOC000048,C000048,FIR,2019-09-09,English,"On 01 September 2019 at approximately 22:11 hrs, Aditi Jadhav was reported in connection with a cheating incident in the Aundh area, Pune. Amit Prakash Gaikwad was identified as another person relevant to the inquiry. The record notes vehicle MH14ZB2419 and contact number 9899916530 in connection with the reported events. The matter was registered on 03 September 2019 under IPC 420 and assigned to investigating officer IO0159.",IO0159,Reviewed,0.975
DOC000049,C000049,Statement,2018-03-26,English,"On 21 February 2018 at approximately 23:37 hrs, Aarav Ramesh Thakur was reported in connection with a robbery with preparation for hurt incident in the Viman Nagar area, Pune. Anjali Vijay Wagh was identified as another person relevant to the inquiry. The record notes vehicle MH12UN3016 and contact number 9747736598 in connection with the reported events. The matter was registered on 28 February 2018 under IPC 393 and assigned to investigating officer IO0116.",IO0116,Final,0.936
DOC000050,C000050,Case Summary,2021-03-08,English,"On 16 February 2021 at approximately 17:29 hrs, Vivek Kadam was reported in connection with a criminal intimidation incident in the Pimpri area, Pune. Pranav Anil Pande was identified as another person relevant to the inquiry. The record notes vehicle MH42TC3598 and contact number 9221907723 in connection with the reported events. The matter was registered on 27 February 2021 under IPC 506 and assigned to investigating officer IO0101.",IO0101,Archived,0.977
DOC000051,C000051,FIR,2021-03-18,English,"On 18 February 2021 at approximately 12:45 hrs, Nikhil Naik was reported in connection with a house-breaking / house-trespass incident in the Chinchwad area, Pune. Omkar Kiran Desai was identified as another person relevant to the inquiry. The record notes vehicle MH42BM2704 and contact number 9875246949 in connection with the reported events. The matter was registered on 19 February 2021 under IPC 454 and assigned to investigating officer IO0312.",IO0312,Draft,0.97
DOC000052,C000052,Investigation Note,2023-02-02,English,"On 22 January 2023 at approximately 09:27 hrs, Dhruv Raj More was reported in connection with a robbery with preparation for hurt incident in the Baner area, Pune. Pranav Anil Pande was identified as another person relevant to the inquiry. The record notes vehicle MH42WS6859 and contact number 9948546006 in connection with the reported events. The matter was registered on 26 January 2023 under IPC 393 and assigned to investigating officer IO0062.",IO0062,Final,0.974
DOC000053,C000053,FIR,2024-05-21,English,"On 06 May 2024 at approximately 12:47 hrs, Harsh Dilip Patil was reported in connection with a mischief causing damage incident in the Kondhwa area, Pune. Riya Mane was identified as another person relevant to the inquiry. The record notes vehicle MH14NH8731 and contact number 9157412786 in connection with the reported events. The matter was registered on 17 May 2024 under IPC 427 and assigned to investigating officer IO0025.",IO0025,Final,0.955
DOC000054,C000054,FIR,2022-03-20,English,"On 21 February 2022 at approximately 19:14 hrs, Kajal More was reported in connection with a mischief causing damage incident in the Dhankawadi area, Pune. Aniket Kiran Kulkarni was identified as another person relevant to the inquiry. The record notes vehicle MH15AN8127 and contact number 9557441545 in connection with the reported events. The matter was registered on 07 March 2022 under IPC 427 and assigned to investigating officer IO0334.",IO0334,Reviewed,0.947
DOC000055,C000055,Statement,2020-09-13,English,"On 18 August 2020 at approximately 09:28 hrs, Pooja S. was reported in connection with a robbery incident in the Katraj area, Pune. Kajal Salunkhe was identified as another person relevant to the inquiry. The record notes vehicle MH42BN1938 and contact number 9999702426 in connection with the reported events. The matter was registered on 30 August 2020 under IPC 392 and assigned to investigating officer IO0162.",IO0162,Reviewed,0.975
DOC000056,C000056,Investigation Note,2018-04-21,English,"On 19 March 2018 at approximately 21:19 hrs, Simran Sharma was reported in connection with a criminal breach of trust incident in the Aundh area, Pune. Aanya P More was identified as another person relevant to the inquiry. The record notes vehicle MH42HX7805 and contact number 9870029093 in connection with the reported events. The matter was registered on 27 March 2018 under IPC 406 and assigned to investigating officer IO0069.",IO0069,Final,0.928
DOC000057,C000057,Case Summary,2022-12-02,English,"On 16 November 2022 at approximately 19:48 hrs, Deepa Sanjay Kadam was reported in connection with a house-breaking / house-trespass incident in the Shivajinagar area, Pune. Ritesh Kadam was identified as another person relevant to the inquiry. The record notes vehicle MH14EQ9435 and contact number 9584770330 in connection with the reported events. The matter was registered on 17 November 2022 under IPC 454 and assigned to investigating officer IO0197.",IO0197,Reviewed,0.98
DOC000058,C000058,Statement,2023-09-30,English,"On 21 September 2023 at approximately 05:00 hrs, Rohit Joshi was reported in connection with a robbery with preparation for hurt incident in the Baner area, Pune. Amit Mahesh Naik was identified as another person relevant to the inquiry. The record notes vehicle MH42YM1022 and contact number 9486328770 in connection with the reported events. The matter was registered on 28 September 2023 under IPC 393 and assigned to investigating officer IO0089.",IO0089,Reviewed,0.933
DOC000059,C000059,Statement,2020-06-23,English,"On 20 June 2020 at approximately 18:57 hrs, Pranav Joshi was reported in connection with a grievous hurt incident in the Shivajinagar area, Pune. Swati K Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH14KF8872 and contact number 9475281285 in connection with the reported events. The matter was registered on 23 June 2020 under IPC 325 and assigned to investigating officer IO0081.",IO0081,Final,0.976
DOC000060,C000060,FIR,2023-12-03,English,"On 20 November 2023 at approximately 18:36 hrs, Saurabh Kale was reported in connection with a theft in dwelling house incident in the Wakad area, Pune. Pranav S Jadhav was identified as another person relevant to the inquiry. The record notes vehicle MH42VJ4190 and contact number 9875819529 in connection with the reported events. The matter was registered on 30 November 2023 under IPC 380 and assigned to investigating officer IO0270.",IO0270,Reviewed,0.949
DOC000061,C000061,Investigation Note,2021-03-22,English,"On 18 February 2021 at approximately 00:37 hrs, Abhishek Dilip Salunkhe was reported in connection with a unlawful assembly incident in the Aundh area, Pune. Mayur Anil Sawant was identified as another person relevant to the inquiry. The record notes vehicle MH42PT3214 and contact number 9594465252 in connection with the reported events. The matter was registered on 27 February 2021 under IPC 141 and assigned to investigating officer IO0274.",IO0274,Final,0.962
DOC000062,C000062,Statement,2021-04-20,English,"On 06 April 2021 at approximately 16:51 hrs, Mayur Naik was reported in connection with a sexual harassment incident in the Hadapsar area, Pune. Rohan Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH42AH7787 and contact number 9425134488 in connection with the reported events. The matter was registered on 06 April 2021 under IPC 354A and assigned to investigating officer IO0062.",IO0062,Reviewed,0.971
DOC000063,C000063,FIR,2023-12-17,English,"On 04 December 2023 at approximately 14:03 hrs, Tejas Mane was reported in connection with a voluntarily causing hurt incident in the Baner area, Pune. Nandini Prakash Dhumal was identified as another person relevant to the inquiry. The record notes vehicle MH15OT6138 and contact number 9279824874 in connection with the reported events. The matter was registered on 04 December 2023 under IPC 323 and assigned to investigating officer IO0148.",IO0148,Reviewed,0.931
DOC000064,C000064,FIR,2021-09-12,English,"On 23 August 2021 at approximately 08:51 hrs, Pooja Chavan was reported in connection with a criminal breach of trust incident in the Dhankawadi area, Pune. Vivek K Dhumal was identified as another person relevant to the inquiry. The record notes vehicle MH15IF7764 and contact number 9919524899 in connection with the reported events. The matter was registered on 26 August 2021 under IPC 406 and assigned to investigating officer IO0341.",IO0341,Final,0.974
DOC000065,C000065,Investigation Note,2021-11-17,English,"On 11 November 2021 at approximately 10:06 hrs, Saurabh S Shinde was reported in connection with a house-breaking / house-trespass incident in the Aundh area, Pune. Pranav Mahesh Mane was identified as another person relevant to the inquiry. The record notes vehicle MH12FH5478 and contact number 9353637025 in connection with the reported events. The matter was registered on 15 November 2021 under IPC 454 and assigned to investigating officer IO0056.",IO0056,Final,0.967
DOC000066,C000066,Statement,2019-04-16,English,"On 25 March 2019 at approximately 13:02 hrs, Vikas Anil Shinde was reported in connection with a house-breaking / house-trespass incident in the Baner area, Pune. Kunal Kadam was identified as another person relevant to the inquiry. The record notes vehicle MH14KA1703 and contact number 9137202119 in connection with the reported events. The matter was registered on 01 April 2019 under IPC 454 and assigned to investigating officer IO0170.",IO0170,Reviewed,0.953
DOC000067,C000067,Statement,2022-10-10,English,"On 08 October 2022 at approximately 11:37 hrs, Isha Sawant was reported in connection with a theft in dwelling house incident in the Viman Nagar area, Pune. Vaishnavi V Deshmukh was identified as another person relevant to the inquiry. The record notes vehicle MH15TS4172 and contact number 9128699186 in connection with the reported events. The matter was registered on 10 October 2022 under IPC 380 and assigned to investigating officer IO0016.",IO0016,Final,0.983
DOC000068,C000068,FIR,2024-07-13,English,"On 12 June 2024 at approximately 20:38 hrs, Tejas Mahesh Shinde was reported in connection with a theft of property incident in the Kothrud area, Pune. Saurabh Desai was identified as another person relevant to the inquiry. The record notes vehicle MH15AD7881 and contact number 9459073819 in connection with the reported events. The matter was registered on 26 June 2024 under IPC 379 and assigned to investigating officer IO0011.",IO0011,Reviewed,0.95
DOC000069,C000069,FIR,2019-12-05,English,"On 03 November 2019 at approximately 11:57 hrs, Swapnil Dhumal was reported in connection with a voluntarily causing hurt incident in the Baner area, Pune. Madhura Bhosale was identified as another person relevant to the inquiry. The record notes vehicle MH42QE7006 and contact number 9446375114 in connection with the reported events. The matter was registered on 10 November 2019 under IPC 323 and assigned to investigating officer IO0041.",IO0041,Reviewed,0.926
DOC000070,C000070,FIR,2023-11-10,English,"On 29 October 2023 at approximately 19:43 hrs, Swapnil Vijay Kulkarni was reported in connection with a cheating incident in the Katraj area, Pune. Shruti Patil was identified as another person relevant to the inquiry. The record notes vehicle MH15YJ9035 and contact number 9289889012 in connection with the reported events. The matter was registered on 29 October 2023 under IPC 420 and assigned to investigating officer IO0256.",IO0256,Final,0.975
